Teera-Mongkol Industry PCL | Balance Sheet                                25-Sep-2024 16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Total Debt,"35,880 ","41,313 ","70,074 ","71,178 ","80,370 ","72,062 ","86,166 ","104,097 ","114,763 ","118,962 ","146,118 ","144,539 ","125,559 ","111,792 ","137,885 ","150,497 ","146,609 ","130,907 ","136,724 ","130,265 ","84,898 ","45,641 ","161,723 ","161,889 ","49,922 ","58,443 ","109,482 ","62,845 ","63,105 ","65,602 ","99,349 ","163,460 ","165,880 ","167,488 ","162,910 ","169,483 ","169,908 ","155,920 ","154,976 ","169,255 ","172,355 ","163,239 ","211,877 ","241,620 ","283,293 ","330,968 ","361,480 ","409,653 ","389,644 ","388,188 ","390,956 ","376,992 ","386,186 ","337,749 ","364,090 "
Deferred Income Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"7,042 ","6,867 ","6,689 ","6,510 ","6,331 ","6,154 ","5,976 ","5,797 ","5,618 ","5,442 ","5,265 ","5,086 ","4,906 ","4,731 ","4,554 ","4,374 ","4,195 ","4,020 ","3,842 ","3,663 ","3,484 ","3,307 ","3,129 "
Deferred Income Tax - LT Liability,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"7,042 ","6,867 ","6,689 ","6,510 ","6,331 ","6,154 ","5,976 ","5,797 ","5,618 ","5,442 ","5,265 ","5,086 ","4,906 ","4,731 ","4,554 ","4,374 ","4,195 ","4,020 ","3,842 ","3,663 ","3,484 ","3,307 ","3,129 "
Minority Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(57),(98),(163),(200),(234),"11,839 ","11,684 ","11,509 ","10,913 ","34,101 ","32,884 ","31,728 ","30,604 ","28,963 ","26,834 ","25,280 ","23,047 ","19,959 ","15,548 ","13,243 ","11,221 "
"Other Liabilities, Total",--,819 ,"1,089 ","1,159 ","1,230 ","1,321 ","1,412 ","1,502 ","1,593 ","1,464 ","1,582 ","1,700 ","1,818 ","1,952 ","2,086 ","2,220 ","2,354 ","2,523 ","2,692 ","2,861 ","1,236 ","1,334 ","1,431 ","1,528 ","1,625 ","1,748 ","1,871 ","1,994 ","2,116 ","2,267 ","2,417 ","2,894 ","3,066 ","3,239 ","4,505 ","4,646 ","6,268 ","6,450 ","6,631 ","6,812 ","6,993 ","7,181 ","7,369 ","7,656 ","7,844 ","8,038 ","8,233 ","8,427 ","8,621 ","8,743 ","9,012 ","9,281 ","9,550 ","9,834 ","10,118 "
Reserves,--,--,--,--,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,300 ,300 ,300 ,300 ,300 ,300 ,300 ,300 ,300 ,300 ,300 ,300 ,400 ,400 ,400 ,400 ,400 ,400 ,400 ,400 ,400 ,400 ,400 ,400 
Pension Benefits - Underfunded,--,819 ,889 ,959 ,"1,030 ","1,121 ","1,212 ","1,302 ","1,393 ","1,264 ","1,382 ","1,500 ","1,618 ","1,752 ","1,886 ","2,020 ","2,154 ","2,323 ","2,492 ","2,661 ","1,036 ","1,134 ","1,231 ","1,328 ","1,425 ","1,548 ","1,671 ","1,794 ","1,916 ","2,067 ","2,217 ","2,594 ","2,766 ","2,939 ","4,205 ","4,346 ","5,968 ","6,150 ","6,331 ","6,512 ","6,693 ","6,881 ","7,069 ","7,256 ","7,444 ","7,638 ","7,833 ","8,027 ","8,221 ","8,343 ","8,612 ","8,881 ","9,150 ","9,434 ","9,718 "
Other Long Term Liabilities,--,--,200 ,200 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Liabilities,"82,414 ","94,187 ","121,233 ","128,583 ","128,297 ","140,264 ","152,780 ","171,790 ","182,335 ","178,590 ","198,728 ","202,206 ","185,870 ","168,566 ","197,216 ","216,196 ","221,402 ","219,052 ","219,191 ","206,602 ","171,876 ","132,930 ","238,700 ","234,839 ","123,984 ","145,150 ","158,876 ","118,025 ","125,292 ","134,256 ","149,480 ","214,453 ","231,918 ","240,150 ","240,141 ","242,115 ","243,988 ","232,961 ","254,217 ","275,218 ","266,566 ","262,312 ","339,317 ","417,177 ","430,833 ","484,379 ","508,895 ","542,401 ","535,720 ","538,670 ","533,457 ","499,824 ","517,272 ","488,729 ","500,681 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Common Stock, Total","80,000 ","80,000 ","80,000 ","80,000 ","80,000 ","80,000 ","96,000 ","96,000 ","96,000 ","96,000 ","96,000 ","96,000 ","98,930 ","98,930 ","99,597 ","99,597 ","111,608 ","111,608 ","131,358 ","131,358 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 "
Common Stock,"80,000 ","80,000 ","80,000 ","80,000 ","80,000 ","80,000 ","96,000 ","96,000 ","96,000 ","96,000 ","96,000 ","96,000 ","98,930 ","98,930 ","99,597 ","99,597 ","111,608 ","111,608 ","131,358 ","131,358 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 ","167,860 "
Additional Paid-In Capital,"45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 ","45,287 "
Retained Earnings (Accumulated Deficit),"38,060 ","44,643 ","31,603 ","35,586 ","41,525 ","55,659 ","48,302 ","53,953 ","58,428 ","66,179 ","54,746 ","55,789 ","55,390 ","51,313 ","39,622 ","44,031 ","48,145 ","50,844 ","24,177 ","55,149 ","29,406 ","32,252 ","20,211 ","13,955 ","24,019 ","25,630 ","13,698 ","1,734 ","(5,254)","(11,977)","(22,279)","(25,956)","(23,279)","(22,688)","(29,316)","(33,627)","(33,152)","(35,883)","(30,746)","(24,363)","(17,827)","(16,618)","(15,677)","(17,872)","(17,274)","(8,988)","(1,848)","7,361 ","12,935 ","28,093 ","29,819 ","31,238 ","30,057 ","32,243 ","13,053 "
Total Equity,"163,347 ","169,930 ","156,889 ","160,873 ","166,812 ","180,945 ","189,589 ","195,239 ","199,715 ","207,466 ","196,033 ","197,075 ","199,607 ","195,530 ","184,506 ","188,915 ","205,039 ","207,739 ","200,822 ","231,794 ","242,553 ","245,399 ","233,359 ","227,103 ","237,166 ","238,777 ","226,845 ","214,881 ","207,893 ","201,171 ","190,868 ","187,191 ","189,869 ","190,460 ","183,831 ","179,520 ","179,995 ","177,264 ","182,401 ","188,784 ","195,320 ","196,529 ","197,470 ","195,275 ","195,873 ","204,159 ","211,299 ","220,508 ","226,082 ","241,240 ","242,966 ","244,385 ","243,204 ","245,390 ","226,200 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders' Equity,"245,760 ","264,117 ","278,122 ","289,456 ","295,109 ","321,209 ","342,369 ","367,029 ","382,051 ","386,056 ","394,761 ","399,281 ","385,477 ","364,096 ","381,723 ","405,111 ","426,441 ","426,791 ","420,013 ","438,396 ","414,429 ","378,328 ","472,059 ","461,942 ","361,150 ","383,927 ","385,721 ","332,906 ","333,185 ","335,427 ","340,349 ","401,644 ","421,787 ","430,610 ","423,972 ","421,635 ","423,984 ","410,225 ","436,618 ","464,002 ","461,886 ","458,841 ","536,787 ","612,452 ","626,706 ","688,538 ","720,195 ","762,909 ","761,802 ","779,910 ","776,423 ","744,209 ","760,476 ","734,119 ","726,881 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Shares Outstanding,"448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","461,676 ","461,676 ","464,788 ","464,788 ","520,839 ","520,839 ","525,433 ","525,433 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 "
Shares Outs - Common Stock Primary Issue,"448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","448,001 ","461,676 ","461,676 ","464,788 ","464,788 ","520,839 ","520,839 ","525,433 ","525,433 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 ","671,441 "
Treas Shares - Common Stock Prmry Issue,--,--,--,--,0 ,--,--,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Minority Interest - Non Redeemable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(57),(98),(163),(200),(234),"11,839 ","11,684 ","11,509 ","10,913 ","34,101 ","32,884 ","31,728 ","30,604 ","28,963 ","26,834 ","25,280 ","23,047 ","19,959 ","15,548 ","13,243 ","11,221 "
Total Equity & Minority Interest,"163,347 ","169,930 ","156,889 ","160,873 ","166,812 ","180,945 ","189,589 ","195,239 ","199,715 ","207,466 ","196,033 ","197,075 ","199,607 ","195,530 ","184,506 ","188,915 ","205,039 ","207,739 ","200,822 ","231,794 ","242,553 ","245,399 ","233,359 ","227,103 ","237,166 ","238,777 ","226,845 ","214,881 ","207,893 ","201,171 ","190,868 ","187,191 ","189,869 ","190,460 ","183,775 ","179,423 ","179,832 ","177,064 ","182,167 ","200,623 ","207,004 ","208,038 ","208,383 ","229,376 ","228,757 ","235,887 ","241,904 ","249,471 ","252,917 ","266,519 ","266,013 ","264,344 ","258,752 ","258,632 ","237,421 "
Other Property/Plant/Equipment - Net,"59,838 ","67,439 ","74,860 ","76,553 ","75,956 ","78,504 ","87,594 ","93,101 ","98,267 ","103,001 ","109,587 ","109,366 ","110,061 ","107,606 ","104,684 ","101,908 ","99,738 ","97,366 ","94,406 ","92,166 ","89,601 ","86,811 ","85,022 ","83,102 ","80,629 ","94,194 ","91,651 ","89,238 ","89,279 ","87,169 ","85,230 ","122,162 ","140,148 ","137,894 ","135,299 ","132,022 ","139,263 ","141,191 ","137,213 ","161,080 ","167,147 ","172,219 ","187,086 ","278,138 ","303,757 ","340,859 ","370,445 ","393,233 ","408,400 ","415,615 ","411,252 ","408,155 ","400,510 ","393,657 ","386,627 "
Intangibles - Net,110 ,137 ,130 ,122 ,--,229 ,500 ,471 ,443 ,415 ,513 ,478 ,442 ,408 ,461 ,797 ,720 ,646 ,570 ,539 ,465 ,393 ,322 ,250 ,266 ,189 ,125 ,153 ,74 ,57 ,52 ,41 ,"18,419 ","18,510 ","17,978 ","17,675 ","42,029 ","41,739 ","41,443 ","41,147 ","40,851 ","40,597 ","40,301 ","40,002 ","39,703 ","39,411 ","39,117 ","38,829 ","38,380 ","37,795 ","37,267 ","36,667 ","36,060 ","35,530 ","34,983 "
Goodwill - Net,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"37,270 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 "
"Accumulated Intangible Amort, Suppl.","1,579 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Right-of-Use Assets-Cap.Lease,Net-Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,241 ","3,817 ","3,393 ","6,978 ","6,475 ","5,972 ","5,467 ","4,962 ","4,459 ","10,718 ","10,077 ","17,557 ","17,859 ","18,524 ","17,552 ","16,580 ","15,611 ","14,642 "
Deferred Revenue - Current,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,898 ","1,699 ","2,750 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Curr. Port. of LT Capital Leases, Suppl.",--,--,--,--,"1,284 ",--,--,--,"1,611 ",--,--,"1,781 ","1,512 ","1,301 ",--,"1,006 ",992 ,976 ,914 ,873 ,774 ,535 ,337 ,136 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,"1,375 ","1,411 ","1,447 ","2,022 ","2,073 ","2,124 ","2,176 ","1,797 ","1,413 ","1,980 ","1,597 ","4,325 ","4,585 ","4,988 ","5,054 ","5,122 ","5,191 ","5,261 "
Total Current Assets less Inventory,"92,643 ","85,541 ","78,403 ","94,422 ","99,281 ","113,360 ","110,463 ","112,871 ","120,881 ","106,247 ","103,583 ","110,864 ","121,862 ","100,870 ","93,850 ","120,842 ","138,517 ","156,373 ","148,026 ","170,457 ","172,542 ","138,225 ","242,145 ","231,699 ","146,409 ","132,797 ","144,154 ","111,661 ","122,024 ","112,036 ","112,379 ","117,293 ","132,949 ","133,012 ","119,055 ","116,274 ","127,931 ","115,238 ","130,373 ","139,316 ","141,054 ","137,610 ","185,145 ","167,042 ","156,935 ","171,631 ","170,116 ","186,504 ","179,586 ","193,446 ","195,706 ","180,675 ","206,386 ","179,961 ","164,932 "
Net Debt Incl. Pref.Stock & Min.Interest,"25,933 ","31,896 ","64,579 ","64,929 ","78,685 ","70,263 ","85,204 ","102,755 ","112,633 ","116,720 ","144,794 ","137,427 ","114,600 ","102,278 ","132,287 ","144,456 ","143,566 ","119,220 ","121,886 ","90,571 ","81,407 ","38,023 ","47,197 ","54,426 ","47,803 ","52,430 ","81,306 ","60,380 ","48,701 ","56,012 ","96,065 ","155,780 ","161,111 ","162,985 ","152,896 ","160,100 ","161,699 ","142,988 ","146,473 ","167,411 ","173,740 ","160,494 ","180,770 ","266,823 ","303,978 ","356,724 ","380,461 ","418,384 ","405,153 ","382,981 ","390,063 ","372,692 ","342,289 ","334,281 ","365,830 "
"Tangible Book Value, Common Equity","163,236 ","169,793 ","156,760 ","160,751 ","166,697 ","180,717 ","189,089 ","194,768 ","199,272 ","207,051 ","195,521 ","196,598 ","199,165 ","195,122 ","184,045 ","188,118 ","204,319 ","207,093 ","200,252 ","231,255 ","242,087 ","245,005 ","233,037 ","226,853 ","236,900 ","238,588 ","226,720 ","214,727 ","207,819 ","201,114 ","190,816 ","149,880 ","163,302 ","163,802 ","157,705 ","153,698 ","129,818 ","127,377 ","132,809 ","139,489 ","146,321 ","147,784 ","149,021 ","147,125 ","148,022 ","156,600 ","164,035 ","173,531 ","179,554 ","195,297 ","197,551 ","199,570 ","198,996 ","201,712 ","183,070 "
"Debt & Lease, Pension Items (THB Thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Capital Leases, Supplemental",--,"15,000 ","15,000 ","15,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 1,--,"1,000 ","1,000 ","1,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 2,--,"1,000 ","1,500 ","1,250 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 3,--,"1,000 ","1,500 ","1,250 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 4,--,"1,000 ","1,500 ","1,250 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in Year 5,--,"1,000 ","1,500 ","1,250 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in 2-3 Years,--,"2,000 ","3,000 ","2,500 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Payments Due in 4-5 Years,--,"2,000 ","3,000 ","2,500 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cap. Lease Pymts. Due in Year 6 & Beyond,--,"10,000 ","8,000 ","9,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Total Operating Leases, Supplemental",--,"3,315 ",--,--,--,"14,000 ","14,000 ","13,000 ",--,"13,000 ","12,000 ","12,000 ","12,000 ","12,000 ","11,000 ","11,000 ","11,000 ","11,000 ","10,000 ","10,000 ","9,600 ","9,400 ","9,100 ","8,800 ","8,400 ","8,100 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 1,--,"1,200 ",--,--,--,"1,000 ","1,000 ","1,000 ",--,"1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,000 ","1,200 ","1,300 ","1,300 ","1,300 ","1,300 ","1,300 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 2,--,"1,575 ",--,--,--,"1,250 ","1,250 ","1,250 ",--,"1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,500 ","1,500 ","1,250 ","1,500 ","1,400 ","1,425 ","1,450 ","1,450 ","1,475 ","1,500 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 3,--,540 ,--,--,--,"1,250 ","1,250 ","1,250 ",--,"1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,500 ","1,500 ","1,250 ","1,500 ","1,400 ","1,425 ","1,450 ","1,450 ","1,475 ","1,500 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 4,--,--,--,--,--,"1,250 ","1,250 ","1,250 ",--,"1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,500 ","1,500 ","1,250 ","1,500 ","1,400 ","1,425 ","1,450 ","1,450 ","1,475 ","1,500 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 5,--,--,--,--,--,"1,250 ","1,250 ","1,250 ",--,"1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,250 ","1,500 ","1,500 ","1,250 ","1,500 ","1,400 ","1,425 ","1,450 ","1,450 ","1,475 ","1,500 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 2-3 Years,--,"2,115 ",--,--,--,"2,500 ","2,500 ","2,500 ",--,"2,500 ","2,500 ","2,500 ","2,500 ","2,500 ","2,500 ","2,500 ","3,000 ","3,000 ","2,500 ","3,000 ","2,800 ","2,850 ","2,900 ","2,900 ","2,950 ","3,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 4-5 Years,--,--,--,--,--,"2,500 ","2,500 ","2,500 ",--,"2,500 ","2,500 ","2,500 ","2,500 ","2,500 ","2,500 ","2,500 ","3,000 ","3,000 ","2,500 ","3,000 ","2,800 ","2,850 ","2,900 ","2,900 ","2,950 ","3,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oper. Lse. Pymts. Due in Year 6 & Beyond,--,0 ,--,--,--,"8,000 ","8,000 ","7,000 ",--,"7,000 ","6,000 ","6,000 ","6,000 ","6,000 ","5,000 ","5,000 ","4,000 ","4,000 ","4,000 ","3,000 ","2,800 ","2,400 ","2,000 ","1,700 ","1,200 ",800 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Funded Status,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,752)","(1,886)","(2,020)","(2,154)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Unfunded Plan Obligations,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,752 ","1,886 ","2,020 ","2,154 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Period End Assumptions,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Discount Rate - Domestic,--,3.45%,3.46%,3.46%,--,3.46%,3.46%,3.46%,--,4.28%,4.28%,4.28%,4.28%,--,--,--,4.28%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Compensation Rate - Domestic,--,5.00%,5.00%,5.00%,--,5.00%,5.00%,5.00%,--,6.00%,6.00%,6.00%,6.00%,--,--,--,6.00%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Assets Recognized on Balance Sheet,--,(819),"(889,235)","(959,432)",--,"(1,121)","(1,212)","(1,302)",--,"(1,264)","(1,382)","(1,500)","(1,618)","(1,752)","(1,886)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Accrued Liabilities - Domestic,--,(819),"(889,235)","(959,432)",--,"(1,121)","(1,212)","(1,302)",--,"(1,264)","(1,382)","(1,500)","(1,618)","(1,752)","(1,886)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Obligations,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,752 ","1,886 ","2,020 ","2,154 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
