BCPG PCL | Income Statement                                25-Sep-2024 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Normalized EBIT,"593,905 ","611,287 ","569,767 ","580,104 ","482,064 ","376,414 ","450,593 ","378,578 ","460,416 ","455,847 ","428,941 ","349,923 ","415,881 ","491,964 ","442,720 ","409,239 ","456,546 ","491,617 ","417,998 ","523,987 ","436,908 ","498,726 ","750,612 ","586,406 ","526,259 ","544,654 ","732,680 ","572,419 ","564,922 ","704,447 ","799,921 ","533,109 ","385,431 ","361,401 ","732,462 ","469,873 ","399,615 ","511,565 "
Normalized EBITDA,"711,615 ","730,508 ","690,269 ","700,663 ","626,428 ","522,219 ","609,380 ","548,072 ","624,350 ","635,080 ","608,726 ","529,167 ","592,428 ","669,969 ","625,872 ","564,686 ","609,432 ","651,492 ","583,499 ","735,973 ","673,214 ","758,988 ","1,033,788 ","884,752 ","818,170 ","836,408 ","1,019,129 ","882,544 ","889,675 ","1,094,344 ","1,197,612 ","925,098 ","768,630 ","782,947 ","1,234,147 ","971,232 ","894,758 ","1,009,941 "
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCPG Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,THB 0.33 I,THB 0.15 I,THB 0.15 F,THB 0.12 I,THB 0.02 Extra,THB 0.12 I,THB 0.00 Extra,THB 0.15 I,THB 0.13 I,THB 0.14 I,THB 0.03 Extra,THB 0.14 I,THB 0.03 Extra,THB 0.14 I,THB 0.03 Extra,--,THB 0.14 I,--,THB 0.04 Extra,--,THB 0.03 Extra,--,THB 0.17 F,--,THB 0.01 Extra,--,THB 0.11 F,--,THB 0.10 I,--,THB 0.15 F,--,THB 0.10 I
,,,,,,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,(31-Mar) Pd.End ,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,(31-Mar) Pd.End ,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,(31-Mar) Pd.End ,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End 
,--,--,--,--,--,THB 0.06 Extra,--,--,THB 0.03 Extra,THB 0.13 I,THB 0.03 Extra,THB 0.15 F,THB 0.01 Extra,THB 0.02 Extra,THB 0.02 Extra,THB 0.13 F,THB 0.02 Extra,THB 0.12 I,THB 0.02 Extra,THB 0.13 F,--,THB 0.02 Extra,--,THB 0.13 F,--,THB 0.13 I,--,THB 0.00 Extra,--,THB 0.19 I,--,THB 0.05 Extra,--,--,--,--,--,--
,,,,,,(30-Jun) Pd.End ,,,(31-Mar) Pd.End ,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,(31-Mar) Pd.End ,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,(31-Mar) Pd.End ,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,,,,,
Rights Issue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,(30-Nov) ,,,,,,,,,,,,,,
