Super Energy Corporation PCL | Income Statement                                25-Sep-2024 16:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Minority Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,(357),(655),(244),(329),(643),(237),219 ,849 ,129 ,"3,254 ","8,712 ","93,087 ","(10,090)","38,158 ","(108,786)","(79,871)","(58,447)","(91,719)","(43,001)","(34,144)","(82,492)","(61,168)","(48,854)","(36,250)","(65,036)","(63,168)","(40,990)","(68,104)","(70,795)","(56,668)","(42,977)","(54,068)","(234,178)","(110,938)","(60,719)","79,706 ","(20,509)","(15,332)","(11,250)","(20,128)",0 ,0 ,"80,292 ","29,221 ","35,671 ","39,870 "
Net Income Before Extra. Items,"29,018 ","37,829 ","22,189 ","4,397 ","35,331 ","29,751 ","5,783 ","(35,705)","(31,211)","(34,258)","(29,258)","(29,589)","(27,804)","(55,724)","(34,675)","(22,830)","(25,907)","(24,955)","(25,370)","(33,173)","(71,656)","(72,899)","(33,112)","(111,039)","(12,503)","(21,608)","(16,883)","11,536 ","19,526 ","(40,502)","(18,742)","(2,992)","22,875 ",(86),"12,701 ",(506),"19,757 ","2,336 ","(8,093)","1,903 ","(4,828)","(15,794)","(39,249)","(28,719)","(33,626)","(183,940)","(128,352)","(366,600)","17,646 ","59,655 ","203,360 ","80,963 ","504,959 ","343,610 ","323,215 ","112,535 ","412,313 ","342,044 ","113,374 ","177,702 ","395,535 ","289,363 ","1,160,912 ","291,298 ","718,565 ","148,360 ","488,640 ","(52,286)","860,250 ","707,807 ","525,714 ","313,620 ","532,293 ","236,248 ","(82,595)","(20,626)","515,403 ","66,713 ","(445,992)","(144,442)","190,851 ","(305,969)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discontinued Operations,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"10,916 ",(847),"(2,296)","(14,514)","69,273 ","(7,006)","(5,150)","(10,861)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extraordinary Item,0 ,"315,000 ","657,237 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Extraordinary Items,0 ,"315,000 ","657,237 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"10,916 ",(847),"(2,296)","(14,514)","69,273 ","(7,006)","(5,150)","(10,861)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Income,"29,018 ","352,829 ","679,426 ","4,397 ","35,331 ","29,751 ","5,783 ","(35,705)","(31,211)","(34,258)","(29,258)","(29,589)","(27,804)","(55,724)","(34,675)","(22,830)","(25,907)","(24,955)","(25,370)","(33,173)","(71,656)","(72,899)","(33,112)","(111,039)","(12,503)","(21,608)","(16,883)","11,536 ","19,526 ","(40,502)","(18,742)","(2,992)","33,791 ",(933),"10,405 ","(15,019)","89,030 ","(4,670)","(13,243)","(8,958)","(4,828)","(15,794)","(39,249)","(28,719)","(33,626)","(183,940)","(128,352)","(366,600)","17,646 ","59,655 ","203,360 ","80,963 ","504,959 ","343,610 ","323,215 ","112,535 ","412,313 ","342,044 ","113,374 ","177,702 ","395,535 ","289,363 ","1,160,912 ","291,298 ","718,565 ","148,360 ","488,640 ","(52,286)","860,250 ","707,807 ","525,714 ","313,620 ","532,293 ","236,248 ","(82,595)","(20,626)","515,403 ","66,713 ","(445,992)","(144,442)","190,851 ","(305,969)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,"29,018 ","37,829 ","22,189 ","4,397 ","35,331 ","29,751 ","5,783 ","(35,705)","(31,211)","(34,258)","(29,258)","(29,589)","(27,804)","(55,724)","(34,675)","(22,830)","(25,907)","(24,955)","(25,370)","(33,173)","(71,656)","(72,899)","(33,112)","(111,039)","(12,503)","(21,608)","(16,883)","11,536 ","19,526 ","(40,502)","(18,742)","(2,992)","22,875 ",(86),"12,701 ",(506),"19,757 ","2,336 ","(8,093)","1,903 ","(4,828)","(15,794)","(39,249)","(28,719)","(33,626)","(183,940)","(128,352)","(366,600)","17,646 ","59,655 ","203,360 ","80,963 ","504,959 ","343,610 ","323,215 ","112,535 ","412,313 ","342,044 ","113,374 ","177,702 ","395,535 ","289,363 ","1,160,912 ","291,298 ","718,565 ","148,360 ","488,640 ","(52,286)","860,250 ","707,807 ","525,714 ","313,620 ","532,293 ","236,248 ","(82,595)","(20,626)","515,403 ","66,713 ","(445,992)","(144,442)","190,851 ","(305,969)"
Income Available to Com Incl ExtraOrd,"29,018 ","352,829 ","679,426 ","4,397 ","35,331 ","29,751 ","5,783 ","(35,705)","(31,211)","(34,258)","(29,258)","(29,589)","(27,804)","(55,724)","(34,675)","(22,830)","(25,907)","(24,955)","(25,370)","(33,173)","(71,656)","(72,899)","(33,112)","(111,039)","(12,503)","(21,608)","(16,883)","11,536 ","19,526 ","(40,502)","(18,742)","(2,992)","33,791 ",(933),"10,405 ","(15,019)","89,030 ","(4,670)","(13,243)","(8,958)","(4,828)","(15,794)","(39,249)","(28,719)","(33,626)","(183,940)","(128,352)","(366,600)","17,646 ","59,655 ","203,360 ","80,963 ","504,959 ","343,610 ","323,215 ","112,535 ","412,313 ","342,044 ","113,374 ","177,702 ","395,535 ","289,363 ","1,160,912 ","291,298 ","718,565 ","148,360 ","488,640 ","(52,286)","860,250 ","707,807 ","525,714 ","313,620 ","532,293 ","236,248 ","(82,595)","(20,626)","515,403 ","66,713 ","(445,992)","(144,442)","190,851 ","(305,969)"
Basic Weighted Average Shares,"3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,137,379 ","3,211,490 ","2,303,678 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","4,369,733 ","4,817,236 ","4,817,236 ","4,817,236 ","4,817,236 ","4,964,349 ","5,050,943 ","5,050,943 ","5,052,129 ","5,050,943 ","5,106,448 ","5,050,943 ","5,456,799 ","5,761,941 ","5,536,895 ","5,652,371 ","6,492,422 ","6,734,591 ","6,734,591 ","7,655,236 ","8,477,335 ","10,427,759 ","14,711,721 ","18,318,386 ","20,195,563 ","20,943,406 ","21,141,525 ","23,250,594 ","24,921,045 ","24,205,553 ","25,720,343 ","26,750,705 ","29,146,465 ","27,349,645 ","27,349,462 ","27,349,463 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,950,553 ","27,349,466 ","27,349,466 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,650,017 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 "
Basic EPS Excluding Extraordinary Items,0.01 ,0.01 ,0.01 ,0.00 ,0.01 ,0.01 ,0.00 ,(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.02),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),(0.01),(0.02),0.00 ,0.00 ,0.01 ,0.00 ,0.02 ,0.01 ,0.01 ,0.00 ,0.02 ,0.01 ,0.00 ,0.01 ,0.01 ,0.01 ,0.04 ,0.01 ,0.03 ,0.01 ,0.02 ,0.00 ,0.03 ,0.03 ,0.02 ,0.01 ,0.02 ,0.01 ,0.00 ,0.00 ,0.02 ,0.00 ,(0.02),(0.01),0.01 ,(0.01)
Basic EPS Including Extraordinary Items,0.01 ,0.11 ,0.21 ,0.00 ,0.01 ,0.01 ,0.00 ,(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.02),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),(0.01),(0.02),0.00 ,0.00 ,0.01 ,0.00 ,0.02 ,0.01 ,0.01 ,0.00 ,0.02 ,0.01 ,0.00 ,0.01 ,0.01 ,0.01 ,0.04 ,0.01 ,0.03 ,0.01 ,0.02 ,0.00 ,0.03 ,0.03 ,0.02 ,0.01 ,0.02 ,0.01 ,0.00 ,0.00 ,0.02 ,0.00 ,(0.02),(0.01),0.01 ,(0.01)
Dilution Adjustment,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Diluted Net Income,"29,018 ","352,829 ","679,426 ","4,397 ","35,331 ","29,751 ","5,783 ","(35,705)","(31,211)","(34,258)","(29,258)","(29,589)","(27,804)","(55,724)","(34,675)","(22,830)","(25,907)","(24,955)","(25,370)","(33,173)","(71,656)","(72,899)","(33,112)","(111,039)","(12,503)","(21,608)","(16,883)","11,536 ","19,526 ","(40,502)","(18,742)","(2,992)","33,791 ",(933),"10,405 ","(15,019)","89,030 ","(4,670)","(13,243)","(8,958)","(4,828)","(15,794)","(39,249)","(28,719)","(33,626)","(183,940)","(128,352)","(366,600)","17,646 ","59,655 ","203,360 ","80,963 ","504,959 ","343,610 ","323,215 ","112,535 ","412,313 ","342,044 ","113,374 ","177,702 ","395,535 ","289,363 ","1,160,912 ","291,298 ","718,565 ","148,360 ","488,640 ","(52,286)","860,250 ","707,807 ","525,714 ","313,620 ","532,293 ","236,248 ","(82,595)","(20,626)","515,403 ","66,713 ","(445,992)","(144,442)","190,851 ","(305,969)"
Diluted Weighted Average Shares,"3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,137,379 ","3,211,490 ","2,303,678 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","3,211,490 ","4,369,733 ","4,817,236 ","4,817,236 ","4,817,236 ","4,817,236 ","4,964,349 ","5,050,943 ","5,050,943 ","5,052,129 ","5,050,943 ","5,106,448 ","5,050,943 ","5,456,799 ","5,761,941 ","5,536,895 ","5,652,371 ","6,492,422 ","6,734,591 ","6,734,591 ","7,655,236 ","8,477,335 ","10,427,759 ","14,711,721 ","18,318,386 ","20,195,563 ","20,943,406 ","21,141,525 ","23,250,594 ","24,921,045 ","24,205,553 ","25,720,343 ","26,750,705 ","29,146,465 ","27,349,645 ","27,349,462 ","27,349,463 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,349,466 ","27,950,553 ","27,349,466 ","27,349,466 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 ","27,650,017 ","27,349,473 ","27,349,473 ","27,349,473 ","27,349,473 "
Diluted EPS Excluding ExtraOrd Items,0.01 ,0.01 ,0.01 ,0.00 ,0.01 ,0.01 ,0.00 ,(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.02),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),(0.01),(0.02),0.00 ,0.00 ,0.01 ,0.00 ,0.02 ,0.01 ,0.01 ,0.00 ,0.02 ,0.01 ,0.00 ,0.01 ,0.01 ,0.01 ,0.04 ,0.01 ,0.03 ,0.01 ,0.02 ,0.00 ,0.03 ,0.03 ,0.02 ,0.01 ,0.02 ,0.01 ,0.00 ,0.00 ,0.02 ,0.00 ,(0.02),(0.01),0.01 ,(0.01)
Diluted EPS Including ExtraOrd Items,0.01 ,0.11 ,0.21 ,0.00 ,0.01 ,0.01 ,0.00 ,(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.02),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),(0.01),(0.02),0.00 ,0.00 ,0.01 ,0.00 ,0.02 ,0.01 ,0.01 ,0.00 ,0.02 ,0.01 ,0.00 ,0.01 ,0.01 ,0.01 ,0.04 ,0.01 ,0.03 ,0.01 ,0.02 ,0.00 ,0.03 ,0.03 ,0.02 ,0.01 ,0.02 ,0.01 ,0.00 ,0.00 ,0.02 ,0.00 ,(0.02),(0.01),0.01 ,(0.01)
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Gross Dividends - Common Stock,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"300,840 ",0 ,0 ,0 ,0 ,"164,100 ",--,0 ,--,"164,100 ",--,0 ,--,0 ,--,--,--,--,--,--
"Impairment-Assets Held for Use, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,563 ",--,--,--,--,--,--,"48,268 ",950 ,"1,284 ","211,036 ","(13,236)","1,650 ","3,448 ","4,370 ","35,075 ","3,773 ",837 ,"(126,688)","128,849 ","29,200 ","31,021 "
"Non-Recurring Items, Supplemental, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,563 ",--,--,--,--,--,--,"48,268 ",950 ,"1,284 ","211,036 ","(13,236)","1,650 ","3,448 ","4,370 ","35,075 ","3,773 ",837 ,"(126,688)","128,849 ","29,200 ","31,021 "
Total Special Items,--,--,--,--,--,--,--,--,--,--,--,--,--,"24,268 ","15,863 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,782 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(787),787 ,--,--,0 ,--,"3,563 ",--,"(1,289,923)",--,--,--,--,"48,268 ",950 ,"1,284 ","211,036 ","(13,236)","1,650 ","3,448 ","4,370 ","35,075 ","3,773 ",837 ,"(126,688)","128,849 ","29,200 ","31,021 "
Normalized Income Before Taxes,"29,018 ","37,829 ","22,189 ","4,397 ","35,331 ","29,751 ","5,783 ","(34,869)","(31,042)","(34,028)","(28,069)","(29,615)","(27,670)","(31,383)","(18,608)","(22,480)","(25,770)","(24,811)","(25,266)","(32,658)","(71,656)","(72,899)","(33,112)","(110,863)","(12,503)","(21,608)","(16,883)","11,838 ","19,526 ","(40,502)","(18,742)","(2,737)","29,787 ",(86),"16,563 ",(506),"20,419 ","3,717 ","(7,659)","1,545 ","(4,215)","(12,458)","(38,938)","(30,111)","(32,334)","(188,172)","(136,862)","(459,178)","27,935 ","22,698 ","313,291 ","141,990 ","567,052 ","436,858 ","368,993 ","161,451 ","494,538 ","407,347 ","166,241 ","212,325 ","467,268 ","363,309 ","219,985 ","316,560 ","793,055 ","222,259 ","552,862 ","(7,401)","1,125,846 ","799,712 ","834,955 ","306,028 ","568,982 ","308,168 ","9,816 ","(54,601)","536,299 ","84,048 ","(692,141)","(295,509)","(2,295)","(292,525)"
Effect of Special Items on Income Taxes,--,--,--,--,--,--,--,--,--,--,--,--,--,"8,494 ","5,552 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,274 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(8),69 ,--,--,0 ,--,24 ,--,"(263,131)",--,--,--,--,"16,894 ",26 ,449 ,"12,679 ","(3,538)",42 ,601 ,"1,530 ","12,276 ",121 ,130 ,"(44,341)","45,097 ","10,220 ","10,857 "
Inc Tax Ex Impact of Sp Items,0 ,0 ,0 ,0 ,0 ,0 ,0 ,836 ,169 ,230 ,"1,189 ",(26),134 ,"8,567 ","5,756 ",350 ,137 ,144 ,104 ,515 ,0 ,0 ,0 ,176 ,0 ,0 ,0 ,302 ,0 ,0 ,0 ,255 ,"6,912 ",0 ,"3,862 ",(1),305 ,726 ,190 ,"(1,195)",(30),"3,099 ",530 ,(542),"1,421 ",(978),202 ,509 ,199 ,"1,201 ","1,145 ","(18,844)","3,646 ","1,529 ","3,556 ","14,054 ",(267),"4,135 ","4,013 ","(1,627)","3,158 ","10,778 ","44,875 ","86,615 ","3,695 ","17,231 ","21,245 ","(40,557)","30,494 ","(19,868)","50,165 ","81,812 ","14,572 ","53,741 ","78,321 ","(76,902)","17,244 ","16,628 ","(83,510)","(205,598)","(176,455)","33,150 "
Normalized Income After Taxes,"29,018 ","37,829 ","22,189 ","4,397 ","35,331 ","29,751 ","5,783 ","(35,705)","(31,211)","(34,258)","(29,258)","(29,589)","(27,804)","(39,950)","(24,364)","(22,830)","(25,907)","(24,955)","(25,370)","(33,173)","(71,656)","(72,899)","(33,112)","(111,039)","(12,503)","(21,608)","(16,883)","11,536 ","19,526 ","(40,502)","(18,742)","(2,992)","22,875 ",(86),"12,701 ",(506),"20,114 ","2,991 ","(7,849)","2,740 ","(4,185)","(15,557)","(39,468)","(29,569)","(33,755)","(187,194)","(137,064)","(459,687)","27,736 ","21,497 ","312,146 ","160,834 ","563,406 ","435,329 ","365,437 ","147,398 ","494,805 ","403,212 ","162,228 ","213,952 ","464,110 ","352,531 ","175,110 ","229,945 ","789,360 ","205,028 ","531,617 ","33,156 ","1,095,352 ","819,580 ","784,790 ","224,216 ","554,410 ","254,427 ","(68,505)","22,301 ","519,055 ","67,420 ","(608,631)","(89,911)","174,160 ","(325,675)"
Normalized Inc. Avail to Com.,"29,018 ","37,829 ","22,189 ","4,397 ","35,331 ","29,751 ","5,783 ","(35,705)","(31,211)","(34,258)","(29,258)","(29,589)","(27,804)","(39,950)","(24,364)","(22,830)","(25,907)","(24,955)","(25,370)","(33,173)","(71,656)","(72,899)","(33,112)","(111,039)","(12,503)","(21,608)","(16,883)","11,536 ","19,526 ","(40,502)","(18,742)","(2,992)","22,875 ",(86),"12,701 ",(506),"19,757 ","2,336 ","(8,093)","2,411 ","(4,828)","(15,794)","(39,249)","(28,719)","(33,626)","(183,940)","(128,352)","(366,600)","17,646 ","59,655 ","203,360 ","80,963 ","504,959 ","343,610 ","322,436 ","113,254 ","412,313 ","342,044 ","113,374 ","177,702 ","399,074 ","289,363 ","134,120 ","161,841 ","718,565 ","148,360 ","488,640 ","(20,912)","861,174 ","708,642 ","724,071 ","303,922 ","533,901 ","239,095 ","(79,755)","2,173 ","519,055 ","67,420 ","(528,339)","(60,690)","209,831 ","(285,805)"
Basic Normalized EPS,0.01 ,0.01 ,0.01 ,0.00 ,0.01 ,0.01 ,0.00 ,(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.02),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),(0.01),(0.02),0.00 ,0.00 ,0.01 ,0.00 ,0.02 ,0.01 ,0.01 ,0.00 ,0.02 ,0.01 ,0.00 ,0.01 ,0.01 ,0.01 ,0.00 ,0.01 ,0.03 ,0.01 ,0.02 ,0.00 ,0.03 ,0.03 ,0.03 ,0.01 ,0.02 ,0.01 ,0.00 ,0.00 ,0.02 ,0.00 ,(0.02),0.00 ,0.01 ,(0.01)
Diluted Normalized EPS,0.01 ,0.01 ,0.01 ,0.00 ,0.01 ,0.01 ,0.00 ,(0.02),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.01),(0.02),(0.01),(0.02),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.01),(0.01),(0.02),0.00 ,0.00 ,0.01 ,0.00 ,0.02 ,0.01 ,0.01 ,0.00 ,0.02 ,0.01 ,0.00 ,0.01 ,0.01 ,0.01 ,0.00 ,0.01 ,0.03 ,0.01 ,0.02 ,0.00 ,0.03 ,0.03 ,0.03 ,0.01 ,0.02 ,0.01 ,0.00 ,0.00 ,0.02 ,0.00 ,(0.02),0.00 ,0.01 ,(0.01)
"Amort of Intangibles, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"13,015 ","13,161 ","13,472 ","28,382 ",--,--,--,--,"42,560 ","42,580 ","43,840 ","43,352 ","42,830 ","42,650 ","43,790 ","45,320 ","44,470 ","44,128 ","61,965 ","55,597 ",--,--,--,"61,340 ","91,255 ","83,023 ","84,638 ","95,163 ","79,667 ","78,984 ","84,108 ","83,716 ","81,603 ","(66,423)","7,620 ","309,627 ","7,250 ","8,480 "
"Depreciation, Supplemental","5,999 ","6,687 ","6,384 ",--,"6,927 ","6,786 ","7,274 ","6,983 ","13,205 ","13,544 ","13,637 ","13,774 ","12,746 ","12,870 ","13,010 ","12,197 ","6,301 ","6,207 ","6,176 ",--,"6,107 ","6,066 ","6,084 ","6,080 ","9,708 ","9,835 ","9,945 ","9,984 ",--,--,"15,586 ","29,464 ","12,796 ","12,956 ","13,370 ","13,421 ","9,403 ","1,158 ","1,207 ","1,474 ","7,661 ","11,902 ","16,038 ","27,446 ","16,142 ","16,326 ","20,717 ","33,274 ","86,644 ","284,649 ","386,588 ","405,576 ","423,294 ","431,781 ","435,448 ","439,960 ","431,146 ","440,952 ","467,308 ","473,390 ","472,088 ","480,219 ","521,709 ","519,935 ","560,441 ","532,578 ","620,701 ","636,865 ","688,241 ","693,861 ","709,833 ","734,755 ","741,994 ","755,415 ","786,759 ","776,367 ","789,673 ","954,542 ","876,806 ","804,666 ","875,108 ","879,096 "
"Depreciation of Right-of-Use Assets,Sup.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"35,163 ","34,932 ","34,217 ","35,259 ","34,895 ","36,134 ","36,468 ","42,893 ","40,337 ","36,789 ",--,"26,290 ","36,641 ","35,547 ","38,422 "
"Interest Expense, Supplemental",26 ,28 ,638 ,"3,758 ","3,572 ","3,385 ","3,477 ","4,316 ","8,488 ","9,456 ","9,435 ","9,258 ","8,779 ","8,127 ","7,399 ","6,814 ","7,082 ","6,051 ","6,075 ","6,403 ",24 ,"27,704 ","14,115 ","25,184 ",629 ,"4,504 ","1,848 ","1,045 ","11,942 ","26,380 ","1,414 ","10,745 ",0 ,--,--,--,74 ,95 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
