CK Power PCL | Income Statement                                12-Sep-2024 14:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Diluted Weighted Average Shares,"4,814,774 ","4,814,788 ","4,814,788 ","4,814,788 ","4,814,788 ","4,814,788 ","5,613,460 ","5,762,342 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","6,178,132 ","7,370,000 ","7,378,332 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,450,989 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","8,055,309 ","8,133,919 ","8,129,382 ","8,129,382 ","8,129,383 ","8,129,385 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 "
Diluted EPS Excluding ExtraOrd Items,0.01 ,(0.02),0.02 ,0.01 ,0.02 ,(0.02),0.03 ,0.00 ,0.02 ,0.01 ,0.02 ,0.04 ,0.01 ,0.02 ,0.00 ,0.02 ,0.01 ,0.01 ,0.02 ,(0.02),(0.01),0.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.05 ,0.02 ,0.02 ,0.01 ,0.00 ,0.06 ,(0.04),(0.01),0.10 ,0.00 ,0.01 ,0.09 ,0.15 ,0.02 ,0.00 ,0.11 ,0.18 ,0.01 ,(0.01),0.00 ,0.13 ,0.07 ,(0.06),0.01 
Diluted EPS Including ExtraOrd Items,0.01 ,(0.02),0.02 ,0.01 ,0.02 ,(0.02),0.03 ,0.00 ,0.02 ,0.01 ,0.02 ,0.04 ,0.01 ,0.02 ,0.00 ,0.02 ,0.01 ,0.01 ,0.02 ,(0.02),(0.01),0.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.05 ,0.02 ,0.02 ,0.01 ,0.00 ,0.06 ,(0.04),(0.01),0.10 ,0.00 ,0.01 ,0.09 ,0.15 ,0.02 ,0.00 ,0.11 ,0.18 ,0.01 ,(0.01),0.00 ,0.13 ,0.07 ,(0.06),0.01 
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,--,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,0.00 ,--,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 
Gross Dividends - Common Stock,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"110,000 ",0 ,0 ,0 ,"164,350 ",0 ,0 ,0 ,"442,200 ",0 ,0 ,0 ,"166,000 ",0 ,0 ,0 ,"206,360 ",0 ,0 ,0 ,"206,000 ",0 ,0 ,0 ,"284,530 ",0 ,0 ,0 ,"650,350 ",0 ,0 ,0 ,"691,000 ",0 ,0 ,0 ,"691,000 ",0 ,0 
Normalized Income Before Taxes,"32,928 ","(244,336)","235,951 ","89,473 ","252,528 ","(147,441)","450,185 ","49,224 ","223,853 ","27,259 ","183,371 ","447,910 ","136,670 ","253,825 ","51,057 ","344,859 ","82,113 ","143,400 ","338,978 ","(356,751)","(83,163)","(22,823)","372,335 ","57,493 ","(8,270)","141,104 ","978,246 ","297,836 ","300,764 ","215,643 ","17,386 ","561,308 ","(414,123)","(169,205)","956,391 ","(191,269)","242,886 ","895,839 ","1,479,582 ","194,128 ","71,498 ","978,496 ","1,743,729 ","99,604 ","(64,004)","21,841 ","1,214,302 ","845,048 ","(361,452)","329,994 "
Inc Tax Ex Impact of Sp Items,0 ,483 ,"1,180 ",292 ,840 ,721 ,756 ,(430),0 ,0 ,0 ,244 ,0 ,0 ,158 ,135 ,103 ,"6,533 ","2,185 ","4,821 ",681 ,679 ,"12,497 ","2,473 ",25 ,"4,641 ","30,140 ","10,054 ","8,881 ","6,276 ","(3,918)","1,039 ","(6,008)","(5,975)","5,454 ","(9,383)","7,941 ","15,960 ","26,109 ","11,172 ","9,044 ","17,621 ","23,499 ","(2,750)","15,340 ","11,145 ","31,225 ","31,193 ","14,660 ","27,581 "
Normalized Income After Taxes,"32,928 ","(244,819)","234,771 ","89,181 ","251,688 ","(148,162)","449,429 ","49,654 ","223,853 ","27,259 ","183,371 ","447,666 ","136,670 ","253,825 ","50,899 ","344,724 ","82,010 ","136,867 ","336,793 ","(361,572)","(83,844)","(23,502)","359,838 ","55,020 ","(8,295)","136,463 ","948,106 ","287,782 ","291,883 ","209,367 ","21,304 ","560,269 ","(408,115)","(163,230)","950,937 ","(181,886)","234,945 ","879,879 ","1,453,473 ","182,957 ","62,454 ","960,875 ","1,720,230 ","102,354 ","(79,344)","10,696 ","1,183,077 ","813,855 ","(376,112)","302,413 "
Normalized Inc. Avail to Com.,"32,928 ","(106,330)","95,729 ","32,689 ","92,887 ","(76,829)","182,104 ","20,722 ","122,319 ","35,381 ","98,824 ","215,292 ","84,036 ","131,016 ","36,168 ","160,655 ","47,452 ","62,000 ","122,219 ","(176,616)","(43,624)","10,677 ","164,815 ","26,905 ","12,518 ","66,193 ","398,802 ","121,555 ","139,421 ","83,730 ","33,343 ","512,408 ","(339,532)","(94,860)","831,308 ","7,798 ","114,599 ","706,958 ","1,234,916 ","122,540 ","38,726 ","864,030 ","1,461,636 ","71,790 ","(104,292)","1,801 ","1,021,940 ","542,664 ","(460,974)","73,920 "
Basic Normalized EPS,0.01 ,(0.02),0.02 ,0.01 ,0.02 ,(0.02),0.03 ,0.00 ,0.02 ,0.01 ,0.02 ,0.04 ,0.01 ,0.02 ,0.00 ,0.02 ,0.01 ,0.01 ,0.02 ,(0.02),(0.01),0.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.05 ,0.02 ,0.02 ,0.01 ,0.00 ,0.06 ,(0.04),(0.01),0.10 ,0.00 ,0.01 ,0.09 ,0.15 ,0.02 ,0.00 ,0.11 ,0.18 ,0.01 ,(0.01),0.00 ,0.13 ,0.07 ,(0.06),0.01 
Diluted Normalized EPS,0.01 ,(0.02),0.02 ,0.01 ,0.02 ,(0.02),0.03 ,0.00 ,0.02 ,0.01 ,0.02 ,0.04 ,0.01 ,0.02 ,0.00 ,0.02 ,0.01 ,0.01 ,0.02 ,(0.02),(0.01),0.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.05 ,0.02 ,0.02 ,0.01 ,0.00 ,0.06 ,(0.04),(0.01),0.10 ,0.00 ,0.01 ,0.09 ,0.15 ,0.02 ,0.00 ,0.11 ,0.18 ,0.01 ,(0.01),0.00 ,0.13 ,0.07 ,(0.06),0.01 
"Amort of Intangibles, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","133,010 ","133,052 ","133,075 ","130,321 ","133,092 ","130,321 ","130,321 ","130,321 ","133,129 ","133,163 ","130,321 ","130,321 ","130,321 ","130,321 ","125,339 ","122,847 ","122,847 ","122,847 ","122,848 ","122,847 ","122,847 ","122,847 "
"Depreciation, Supplemental",6 ,"182,662 ","284,294 ","283,347 ","277,196 ","280,390 ","339,030 ","338,966 ","323,471 ","331,944 ","336,113 ","336,761 ","329,538 ","333,102 ","336,909 ","336,041 ","329,062 ","331,126 ","334,829 ","335,039 ","327,748 ","332,672 ","383,702 ","384,986 ","377,827 ","270,759 ","498,502 ","387,702 ","419,595 ","356,005 ","362,972 ","234,637 ","382,414 ","382,799 ","387,407 ","2,855 ","381,503 ","386,041 ","392,060 ","391,560 ","372,878 ","376,919 ","381,105 ","421,571 ","372,312 ","376,450 ","380,513 ","380,103 ","375,538 ","375,084 "
"Depreciation of Right-of-Use Assets,Sup.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"8,885 ","9,386 ","9,724 ","9,175 ","9,739 ","9,798 ","10,534 ","10,569 ",--,--,--,"40,633 ",--,--,--,--,--,--
"Interest Expense, Supplemental","52,485 ","234,626 ","326,833 ","321,430 ","326,603 ","322,835 ","354,333 ","336,525 ","319,772 ","301,262 ","303,257 ","294,665 ","288,893 ","277,657 ","277,313 ","266,322 ","265,504 ","256,669 ","292,406 ","326,034 ","312,104 ","310,912 ","345,392 ","299,450 ","278,842 ","273,531 ","276,098 ","271,955 ","366,653 ","269,675 ","265,062 ","259,904 ","253,601 ","243,430 ","243,991 ","255,339 ","262,005 ","267,297 ","266,284 ","274,778 ","266,986 ","265,389 ","265,322 ","276,812 ","263,228 ","264,442 ","268,108 ","269,182 ","262,705 ","297,624 "
"Equity in Affiliates, Supplemental","85,855 ","18,944 ","2,493 ","1,203 ",698 ,"4,693 ","3,559 ","6,785 ","10,188 ","7,901 ","7,568 ","9,014 ","9,255 ","7,539 ","(4,355)","(3,870)","(2,661)","(4,871)","(3,677)","(13,768)",(442),"3,386 ","1,435 ",803 ,"1,264 ","1,373 ","(4,110)","8,143 ",85 ,(508),"(7,386)","440,913 ","(329,497)","(87,620)","679,063 ","145,448 ","(32,237)","531,719 ","1,017,105 ","11,154 ","(2,975)","772,014 ","1,252,456 ","107,126 ","(161,728)","(99,155)","816,177 ","303,538 ","(569,404)","(109,205)"
"Minority Interest, Supplemental",0 ,"138,489 ","(139,042)","(56,491)","(158,801)","71,333 ","(267,325)","(28,932)","(101,534)","8,122 ","(84,547)","(232,374)","(52,634)","(122,809)","(14,731)","(184,069)","(34,558)","(74,867)","(214,574)","184,956 ","40,220 ","34,179 ","(195,023)","(28,115)","20,813 ","(70,270)","(549,304)","(166,226)","(152,462)","(125,637)","12,039 ","(47,861)","68,583 ","68,370 ","(119,629)","189,684 ","(120,346)","(172,921)","(218,557)","(60,417)","(23,728)","(96,845)","(258,594)","(30,564)","(24,948)","(8,895)","(161,137)","(271,191)","(84,862)","(228,493)"
Normalized EBIT,(442),"121,955 ","405,197 ","378,622 ","384,085 ","414,863 ","787,220 ","323,996 ","547,856 ","314,032 ","472,412 ","712,784 ","425,073 ","479,723 ","300,645 ","610,163 ","398,833 ","401,693 ","675,698 ","(80,040)","293,820 ","288,565 ","746,921 ","358,241 ","307,707 ","335,753 ","1,274,439 ","538,107 ","643,412 ","381,178 ","150,116 ","232,755 ","35,615 ","51,243 ","394,224 ","(195,368)","412,327 ","509,789 ","598,174 ","267,618 ","215,032 ","330,738 ","613,032 ","166,435 ","234,891 ","232,466 ","514,715 ","688,369 ","321,568 ","592,400 "
Normalized EBITDA,(436),"304,617 ","689,491 ","661,970 ","661,281 ","695,253 ","1,126,250 ","662,962 ","871,327 ","645,976 ","808,525 ","1,049,545 ","754,611 ","812,825 ","637,554 ","946,204 ","727,895 ","732,819 ","1,010,527 ","254,999 ","621,568 ","621,237 ","1,130,623 ","873,548 ","815,855 ","736,833 ","1,903,262 ","1,056,130 ","1,196,017 ","870,235 ","646,163 ","597,713 ","551,121 ","564,363 ","911,952 ","(62,192)","926,959 ","1,028,993 ","1,120,555 ","789,499 ","718,231 ","837,978 ","1,119,476 ","710,853 ","730,050 ","731,763 ","1,018,076 ","1,191,319 ","819,953 ","1,090,331 "
Tax & Pension Items (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Pension Plan Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,868 ","2,868 ","2,868 ","2,868 ","4,825 ","3,177 ","3,177 ","3,152 ","3,370 ","3,744 ","3,557 ","3,556 ","4,651 ","4,569 ","4,566 ","4,566 ",--,--,--,--,--,--,--,--,--,--
Service Cost - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,868 ","2,868 ","2,868 ","2,868 ","4,825 ","3,177 ","3,177 ",--,"3,370 ","3,744 ","3,557 ",--,"4,651 ","4,569 ","4,566 ",--,--,--,--,--,--,--,--,--,--,--
"Other Pension, Net - Domestic",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,152 ",--,--,--,"3,556 ",--,--,--,"4,566 ",--,--,--,--,--,--,--,--,--,--
Total Pension Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,868 ","2,868 ","2,868 ","2,868 ","4,825 ","3,177 ","3,177 ","3,152 ","3,370 ","3,744 ","3,557 ","3,556 ","4,651 ","4,569 ","4,566 ","4,566 ",--,--,--,--,--,--,--,--,--,--
Total Plan Service Cost,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,868 ","2,868 ","2,868 ","2,868 ","4,825 ","3,177 ","3,177 ",--,"3,370 ","3,744 ","3,557 ",--,"4,651 ","4,569 ","4,566 ",--,--,--,--,--,--,--,--,--,--,--
Total Plan Other Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,152 ",--,--,--,"3,556 ",--,--,--,"4,566 ",--,--,--,--,--,--,--,--,--,--
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK Power Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,--,--,THB 0.00 F,--,--,--,THB 0.02 F,--,--,--,THB 0.02 F,--,--,--,THB 0.06 F,--,--,--,THB 0.02 F,--,--,--,THB 0.03 F,--,--,--,THB 0.03 F,--,--,--,THB 0.04 F,--,--,--,THB 0.08 F,--,--,--,THB 0.09 F,--,--,--,THB 0.09 F,--,--
,,,,,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,
Rights Issue,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,(29-May) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share Split,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,(09-Apr) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
