Tirathai PCL | Income Statement                                25-Sep-2024 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024
Net Income After Taxes,"29,716 ","65,150 ","12,910 ","(30,889)",(979),"9,711 ","35,354 ","25,246 ","(37,664)","48,387 ","46,645 ","63,890 ","28,536 ","37,511 ","(12,441)","150,340 ","88,700 ","49,772 ","(20,938)","103,216 ","76,894 ","15,565 ","24,760 ","25,514 ","28,897 ","45,342 ","82,173 ","43,009 ","(30,371)","48,340 ","19,828 ","(7,635)","36,809 ","31,257 ","(6,119)","115,115 ","1,795 ","(20,017)","(44,040)","110,620 ","(20,334)","(83,508)","(11,243)","56,801 ","16,469 ","24,363 ","(16,452)","34,670 ","(31,118)","(52,128)","(76,669)","88,726 ","1,711 ","(5,957)","(34,573)","3,626 ","(19,155)","(21,346)","(1,704)","111,581 ","(62,298)","(17,751)","(8,603)","97,173 ","(36,301)","33,121 ","60,462 ","12,150 ","(24,872)","(51,521)","(26,422)","7,901 ","(36,029)","(26,307)","96,388 ","92,693 ","96,314 "
Minority Interest,232 ,(232),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(1),(700),(628),684 ,779 ,(378),330 ,"1,280 ",(340),"(1,553)","3,654 ","9,092 ",(690),259 ,"(1,037)","1,808 ","1,697 ",(298),(441),(258),"3,422 ",(235),"1,026 ",912 ,"1,268 ","1,224 ",50 ,"2,151 ",858 ,"2,934 ","1,696 ","1,180 ",243 ,277 ,"1,252 ",391 ,723 ,828 ,819 ,896 ,726 ,388 ,865 ,"1,020 ",423 ,526 ,(27)
Equity In Affiliates,0 ,448 ,0 ,0 ,--,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Income Before Extra. Items,"29,948 ","65,366 ","12,910 ","(30,889)",(979),"9,711 ","35,354 ","25,246 ","(37,664)","48,387 ","46,645 ","63,890 ","28,536 ","37,511 ","(12,441)","150,340 ","88,700 ","49,771 ","(20,938)","103,216 ","76,894 ","15,565 ","24,760 ","25,514 ","28,897 ","45,342 ","82,173 ","43,009 ","(30,370)","48,340 ","19,828 ","(8,335)","36,180 ","31,941 ","(5,340)","114,737 ","2,126 ","(18,737)","(44,380)","109,067 ","(16,680)","(74,416)","(11,934)","57,060 ","15,432 ","26,171 ","(14,755)","34,371 ","(31,559)","(52,386)","(73,246)","88,491 ","2,737 ","(5,045)","(33,304)","4,850 ","(19,106)","(19,194)",(845),"114,515 ","(60,602)","(16,571)","(8,360)","97,450 ","(35,049)","33,512 ","61,185 ","12,978 ","(24,053)","(50,625)","(25,696)","8,289 ","(35,164)","(25,286)","96,811 ","93,218 ","96,287 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,"29,948 ","65,366 ","12,910 ","(30,889)",(979),"9,711 ","35,354 ","25,246 ","(37,664)","48,387 ","46,645 ","63,890 ","28,536 ","37,511 ","(12,441)","150,340 ","88,700 ","49,771 ","(20,938)","103,216 ","76,894 ","15,565 ","24,760 ","25,514 ","28,897 ","45,342 ","82,173 ","43,009 ","(30,370)","48,340 ","19,828 ","(8,335)","36,180 ","31,941 ","(5,340)","114,737 ","2,126 ","(18,737)","(44,380)","109,067 ","(16,680)","(74,416)","(11,934)","57,060 ","15,432 ","26,171 ","(14,755)","34,371 ","(31,559)","(52,386)","(73,246)","88,491 ","2,737 ","(5,045)","(33,304)","4,850 ","(19,106)","(19,194)",(845),"114,515 ","(60,602)","(16,571)","(8,360)","97,450 ","(35,049)","33,512 ","61,185 ","12,978 ","(24,053)","(50,625)","(25,696)","8,289 ","(35,164)","(25,286)","96,811 ","93,218 ","96,287 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Earnings Adjustment,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Adjustments to Net Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Income Available to Com Excl ExtraOrd,"29,948 ","65,366 ","12,910 ","(30,889)",(979),"9,711 ","35,354 ","25,246 ","(37,664)","48,387 ","46,645 ","63,890 ","28,536 ","37,511 ","(12,441)","150,340 ","88,700 ","49,771 ","(20,938)","103,216 ","76,894 ","15,565 ","24,760 ","25,514 ","28,897 ","45,342 ","82,173 ","43,009 ","(30,370)","48,340 ","19,828 ","(8,335)","36,180 ","31,941 ","(5,340)","114,737 ","2,126 ","(18,737)","(44,380)","109,067 ","(16,680)","(74,416)","(11,934)","57,060 ","15,432 ","26,171 ","(14,755)","34,371 ","(31,559)","(52,386)","(73,246)","88,491 ","2,737 ","(5,045)","(33,304)","4,850 ","(19,106)","(19,194)",(845),"114,515 ","(60,602)","(16,571)","(8,360)","97,450 ","(35,049)","33,512 ","61,185 ","12,978 ","(24,053)","(50,625)","(25,696)","8,289 ","(35,164)","(25,286)","96,811 ","93,218 ","96,287 "
Income Available to Com Incl ExtraOrd,"29,948 ","65,366 ","12,910 ","(30,889)",(979),"9,711 ","35,354 ","25,246 ","(37,664)","48,387 ","46,645 ","63,890 ","28,536 ","37,511 ","(12,441)","150,340 ","88,700 ","49,771 ","(20,938)","103,216 ","76,894 ","15,565 ","24,760 ","25,514 ","28,897 ","45,342 ","82,173 ","43,009 ","(30,370)","48,340 ","19,828 ","(8,335)","36,180 ","31,941 ","(5,340)","114,737 ","2,126 ","(18,737)","(44,380)","109,067 ","(16,680)","(74,416)","(11,934)","57,060 ","15,432 ","26,171 ","(14,755)","34,371 ","(31,559)","(52,386)","(73,246)","88,491 ","2,737 ","(5,045)","(33,304)","4,850 ","(19,106)","(19,194)",(845),"114,515 ","(60,602)","(16,571)","(8,360)","97,450 ","(35,049)","33,512 ","61,185 ","12,978 ","(24,053)","(50,625)","(25,696)","8,289 ","(35,164)","(25,286)","96,811 ","93,218 ","96,287 "
Basic Weighted Average Shares,"111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","112,678 ","111,453 ","111,453 ","222,904 ","225,353 ","222,904 ","111,453 ","262,284 ","186,770 ","223,300 ","222,112 ","257,048 ","262,284 ","271,678 ","273,174 ","287,661 ","282,469 ","307,351 ","319,099 ","307,888 ","307,888 ","307,888 ","307,888 ","307,890 ","311,270 ","307,888 ","307,895 ","307,890 ","307,890 ","307,888 ","307,895 ","307,890 ","311,273 ","307,890 ","307,970 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","311,395 ","308,010 ","308,010 ","308,010 ","311,395 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,003 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 "
Basic EPS Excluding Extraordinary Items,0.27 ,0.59 ,0.12 ,(0.28),(0.01),0.09 ,0.32 ,0.23 ,(0.34),0.43 ,0.42 ,0.57 ,0.13 ,0.17 ,(0.06),1.35 ,0.34 ,0.28 ,(0.09),0.46 ,0.30 ,0.06 ,0.09 ,0.09 ,0.10 ,0.16 ,0.27 ,0.13 ,(0.10),0.16 ,0.06 ,(0.03),0.12 ,0.10 ,(0.02),0.37 ,0.01 ,(0.06),(0.14),0.35 ,(0.05),(0.24),(0.04),0.19 ,0.05 ,0.08 ,(0.05),0.11 ,(0.10),(0.17),(0.24),0.29 ,0.01 ,(0.02),(0.11),0.02 ,(0.06),(0.06),0.00 ,0.37 ,(0.20),(0.05),(0.03),0.32 ,(0.11),0.11 ,0.20 ,0.04 ,(0.08),(0.16),(0.08),0.03 ,(0.11),(0.08),0.31 ,0.30 ,0.31 
Basic EPS Including Extraordinary Items,0.27 ,0.59 ,0.12 ,(0.28),(0.01),0.09 ,0.32 ,0.23 ,(0.34),0.43 ,0.42 ,0.57 ,0.13 ,0.17 ,(0.06),1.35 ,0.34 ,0.28 ,(0.09),0.46 ,0.30 ,0.06 ,0.09 ,0.09 ,0.10 ,0.16 ,0.27 ,0.13 ,(0.10),0.16 ,0.06 ,(0.03),0.12 ,0.10 ,(0.02),0.37 ,0.01 ,(0.06),(0.14),0.35 ,(0.05),(0.24),(0.04),0.19 ,0.05 ,0.08 ,(0.05),0.11 ,(0.10),(0.17),(0.24),0.29 ,0.01 ,(0.02),(0.11),0.02 ,(0.06),(0.06),0.00 ,0.37 ,(0.20),(0.05),(0.03),0.32 ,(0.11),0.11 ,0.20 ,0.04 ,(0.08),(0.16),(0.08),0.03 ,(0.11),(0.08),0.31 ,0.30 ,0.31 
Dilution Adjustment,--,--,--,0 ,0 ,--,--,--,0 ,--,--,--,0 ,0 ,0 ,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,--,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Diluted Net Income,"29,948 ","65,366 ","12,910 ","(30,889)",(979),"9,711 ","35,354 ","25,246 ","(37,664)","48,387 ","46,645 ","63,890 ","28,536 ","37,511 ","(12,441)","150,340 ","88,700 ","49,771 ","(20,938)","103,216 ","76,894 ","15,565 ","24,760 ","25,514 ","28,897 ","45,342 ","82,173 ","43,009 ","(30,370)","48,340 ","19,828 ","(8,335)","36,180 ","31,941 ","(5,340)","114,737 ","2,126 ","(18,737)","(44,380)","109,067 ","(16,680)","(74,416)","(11,934)","57,060 ","15,432 ","26,171 ","(14,755)","34,371 ","(31,559)","(52,386)","(73,246)","88,491 ","2,737 ","(5,045)","(33,304)","4,850 ","(19,106)","(19,194)",(845),"114,515 ","(60,602)","(16,571)","(8,360)","97,450 ","(35,049)","33,512 ","61,185 ","12,978 ","(24,053)","(50,625)","(25,696)","8,289 ","(35,164)","(25,286)","96,811 ","93,218 ","96,287 "
Diluted Weighted Average Shares,"111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","111,453 ","112,678 ","111,453 ","111,453 ","222,904 ","225,353 ","222,904 ","111,453 ","262,284 ","186,770 ","223,300 ","299,134 ","283,811 ","285,549 ","289,729 ","290,411 ","297,781 ","294,701 ","307,813 ","319,099 ","307,888 ","307,888 ","307,888 ","307,888 ","307,890 ","311,270 ","307,888 ","307,895 ","307,890 ","307,890 ","307,888 ","311,935 ","307,890 ","311,273 ","307,890 ","307,970 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","311,395 ","308,010 ","308,010 ","308,010 ","311,395 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,010 ","308,003 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 ","308,008 "
Diluted EPS Excluding ExtraOrd Items,0.27 ,0.59 ,0.12 ,(0.28),(0.01),0.09 ,0.32 ,0.23 ,(0.34),0.43 ,0.42 ,0.57 ,0.13 ,0.17 ,(0.06),1.35 ,0.34 ,0.28 ,(0.09),0.35 ,0.27 ,0.05 ,0.09 ,0.09 ,0.10 ,0.15 ,0.27 ,0.13 ,(0.10),0.16 ,0.06 ,(0.03),0.12 ,0.10 ,(0.02),0.37 ,0.01 ,(0.06),(0.14),0.35 ,(0.05),(0.24),(0.04),0.19 ,0.05 ,0.08 ,(0.05),0.11 ,(0.10),(0.17),(0.24),0.29 ,0.01 ,(0.02),(0.11),0.02 ,(0.06),(0.06),0.00 ,0.37 ,(0.20),(0.05),(0.03),0.32 ,(0.11),0.11 ,0.20 ,0.04 ,(0.08),(0.16),(0.08),0.03 ,(0.11),(0.08),0.31 ,0.30 ,0.31 
Diluted EPS Including ExtraOrd Items,0.27 ,0.59 ,0.12 ,(0.28),(0.01),0.09 ,0.32 ,0.23 ,(0.34),0.43 ,0.42 ,0.57 ,0.13 ,0.17 ,(0.06),1.35 ,0.34 ,0.28 ,(0.09),0.35 ,0.27 ,0.05 ,0.09 ,0.09 ,0.10 ,0.15 ,0.27 ,0.13 ,(0.10),0.16 ,0.06 ,(0.03),0.12 ,0.10 ,(0.02),0.37 ,0.01 ,(0.06),(0.14),0.35 ,(0.05),(0.24),(0.04),0.19 ,0.05 ,0.08 ,(0.05),0.11 ,(0.10),(0.17),(0.24),0.29 ,0.01 ,(0.02),(0.11),0.02 ,(0.06),(0.06),0.00 ,0.37 ,(0.20),(0.05),(0.03),0.32 ,(0.11),0.11 ,0.20 ,0.04 ,(0.08),(0.16),(0.08),0.03 ,(0.11),(0.08),0.31 ,0.30 ,0.31 
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.23 ,0.33 ,0.00 ,0.00 ,0.00 ,0.92 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.27 ,0.00 ,0.14 ,0.00 ,0.23 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.11 ,0.00 ,0.19 ,0.00 ,0.00 ,0.00 ,0.10 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,0.00 ,0.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.12 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,0.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.21 ,0.00 
Gross Dividends - Common Stock,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"25,330 ","36,476 ",0 ,0 ,0 ,"102,334 ",0 ,0 ,0 ,"131,140 ",0 ,0 ,0 ,"78,889 ",0 ,"41,950 ",0 ,"69,975 ",0 ,0 ,0 ,"3,110 ",0 ,"33,870 ",0 ,"58,500 ",0 ,0 ,0 ,"30,790 ",0 ,0 ,0 ,"15,400 ",0 ,0 ,0 ,"40,040 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Special Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,"25,985 ","(29,532)",--,--,--,"1,832 ",--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,"24,118 ","12,651 ","5,146 ",--,"(5,237)",0 ,0 ,--,"4,329 ",--,--,600 ,(600),"1,353 ",--,0 ,--,0 
Normalized Income Before Taxes,"29,716 ","65,150 ","12,910 ","(30,889)",(979),"9,711 ","40,896 ","36,923 ","(37,664)","51,913 ","59,544 ","82,090 ","35,806 ","47,429 ","(11,100)","198,246 ","111,392 ","64,432 ","(27,026)","127,809 ","95,186 ","19,144 ","32,110 ","32,779 ","37,810 ","49,108 ","104,709 ","55,292 ","(38,455)","62,878 ","27,118 ","(7,544)","47,532 ","38,392 ","(7,201)","144,087 ","3,317 ","(23,562)","(52,258)","139,097 ",(930),"(132,729)","(13,102)","73,014 ","22,406 ","32,310 ","(17,293)","47,894 ","(38,831)","(67,085)","(95,160)","109,243 ","2,102 ","(7,244)","(43,740)","43,060 ","(22,440)","(15,532)","1,754 ","193,930 ","(58,869)","(12,896)","(10,038)","116,714 ","(41,344)","40,908 ","78,341 ","23,744 ","(28,311)","(61,735)","(29,497)","13,523 ","(39,214)","(28,788)","122,043 ","126,489 ","128,718 "
Effect of Special Items on Income Taxes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,"9,095 ","(10,336)",--,--,--,368 ,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,"8,270 ","4,428 ","1,801 ",--,"(1,064)",0 ,0 ,--,"1,620 ",--,--,210 ,(264),473 ,--,0 ,--,0 
Inc Tax Ex Impact of Sp Items,0 ,0 ,0 ,0 ,0 ,0 ,"5,542 ","11,677 ",0 ,"3,526 ","12,899 ","18,200 ","7,270 ","9,918 ","1,341 ","47,906 ","22,693 ","14,660 ","(6,088)","24,593 ","18,293 ","3,579 ","7,350 ","7,265 ","8,913 ","3,766 ","22,536 ","12,283 ","(8,084)","14,538 ","7,290 ",92 ,"10,723 ","7,135 ","(1,082)","28,973 ","1,522 ","(3,546)","(8,218)","28,477 ","2,514 ","(30,025)","(1,858)","16,213 ","5,937 ","6,482 ",(841),"13,224 ","(7,713)","(14,956)","(18,492)","20,517 ",391 ,"(1,287)","(9,168)","39,434 ","(3,285)","5,813 ","3,457 ","66,501 ","(4,794)","1,510 ","(1,435)","23,714 ","(5,044)","7,787 ","17,879 ","8,885 ","(3,439)","(10,214)","(3,464)","5,958 ","(4,064)","(2,481)","25,655 ","33,796 ","32,404 "
Normalized Income After Taxes,"29,716 ","65,150 ","12,910 ","(30,889)",(979),"9,711 ","35,354 ","25,246 ","(37,664)","48,387 ","46,645 ","63,890 ","28,536 ","37,511 ","(12,441)","150,340 ","88,700 ","49,772 ","(20,938)","103,216 ","76,894 ","15,565 ","24,760 ","25,514 ","28,897 ","45,342 ","82,173 ","43,009 ","(30,371)","48,340 ","19,828 ","(7,635)","36,809 ","31,257 ","(6,119)","115,115 ","1,795 ","(20,017)","(44,040)","110,620 ","(3,443)","(102,703)","(11,243)","56,801 ","16,469 ","25,828 ","(16,452)","34,670 ","(31,118)","(52,128)","(76,669)","88,726 ","1,711 ","(5,957)","(34,573)","3,626 ","(19,155)","(21,346)","(1,704)","127,429 ","(54,074)","(14,406)","(8,603)","93,000 ","(36,301)","33,121 ","60,462 ","14,859 ","(24,872)","(51,521)","(26,032)","7,565 ","(35,150)","(26,307)","96,388 ","92,693 ","96,314 "
Normalized Inc. Avail to Com.,"29,948 ","65,366 ","12,910 ","(30,889)",(979),"9,711 ","35,354 ","25,246 ","(37,664)","48,387 ","46,645 ","63,890 ","28,536 ","37,511 ","(12,441)","150,340 ","88,700 ","49,771 ","(20,938)","103,216 ","76,894 ","15,565 ","24,760 ","25,514 ","28,897 ","45,342 ","82,173 ","43,009 ","(30,370)","48,340 ","19,828 ","(8,335)","36,180 ","31,941 ","(5,340)","114,737 ","2,126 ","(18,737)","(44,380)","109,067 ",210 ,"(93,612)","(11,934)","57,060 ","15,432 ","27,636 ","(14,755)","34,371 ","(31,559)","(52,386)","(73,246)","88,491 ","2,737 ","(5,045)","(33,304)","4,850 ","(19,106)","(19,194)",(845),"130,363 ","(52,379)","(13,226)","(8,360)","93,278 ","(35,049)","33,512 ","61,185 ","15,687 ","(24,053)","(50,625)","(25,306)","7,953 ","(34,285)","(25,286)","96,811 ","93,218 ","96,287 "
Basic Normalized EPS,0.27 ,0.59 ,0.12 ,(0.28),(0.01),0.09 ,0.32 ,0.23 ,(0.34),0.43 ,0.42 ,0.57 ,0.13 ,0.17 ,(0.06),1.35 ,0.34 ,0.28 ,(0.09),0.46 ,0.30 ,0.06 ,0.09 ,0.09 ,0.10 ,0.16 ,0.27 ,0.13 ,(0.10),0.16 ,0.06 ,(0.03),0.12 ,0.10 ,(0.02),0.37 ,0.01 ,(0.06),(0.14),0.35 ,0.00 ,(0.30),(0.04),0.19 ,0.05 ,0.09 ,(0.05),0.11 ,(0.10),(0.17),(0.24),0.29 ,0.01 ,(0.02),(0.11),0.02 ,(0.06),(0.06),0.00 ,0.42 ,(0.17),(0.04),(0.03),0.30 ,(0.11),0.11 ,0.20 ,0.05 ,(0.08),(0.16),(0.08),0.03 ,(0.11),(0.08),0.31 ,0.30 ,0.31 
Diluted Normalized EPS,0.27 ,0.59 ,0.12 ,(0.28),(0.01),0.09 ,0.32 ,0.23 ,(0.34),0.43 ,0.42 ,0.57 ,0.13 ,0.17 ,(0.06),1.35 ,0.34 ,0.28 ,(0.09),0.35 ,0.27 ,0.05 ,0.09 ,0.09 ,0.10 ,0.15 ,0.27 ,0.13 ,(0.10),0.16 ,0.06 ,(0.03),0.12 ,0.10 ,(0.02),0.37 ,0.01 ,(0.06),(0.14),0.35 ,0.00 ,(0.30),(0.04),0.19 ,0.05 ,0.09 ,(0.05),0.11 ,(0.10),(0.17),(0.24),0.29 ,0.01 ,(0.02),(0.11),0.02 ,(0.06),(0.06),0.00 ,0.42 ,(0.17),(0.04),(0.03),0.30 ,(0.11),0.11 ,0.20 ,0.05 ,(0.08),(0.16),(0.08),0.03 ,(0.11),(0.08),0.31 ,0.30 ,0.31 
"Amort of Intangibles, Supplemental","1,166 ","3,070 ","4,258 ","5,386 ","1,110 ","2,176 ","3,254 ","4,332 ","1,055 ","1,066 ","1,078 ","1,078 ","(1,066)","3,187 ","1,078 ","1,078 ",902 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,558 ","1,558 ","1,840 ","4,242 ",--,--,"2,757 ","3,994 ",--,--,--,--,--,"1,688 ","1,106 ","1,092 ","1,089 ","1,078 ","1,128 ","1,146 ","1,339 ","1,735 ","1,711 ","1,749 ","1,333 ","1,393 ","1,269 ","1,278 ","1,049 ","2,027 ","1,480 ",937 ,"1,230 ",731 ,791 ,764 ,780 ,"1,116 ",970 ,968 ,946 ,878 ,864 ,872 ,887 
"Depreciation, Supplemental","9,181 ","9,438 ","9,930 ","10,201 ","9,969 ","10,229 ","10,395 ","10,442 ","10,219 ","10,414 ","10,491 ","10,215 ",--,--,"7,832 ","8,387 ","8,240 ","9,195 ","8,540 ","8,249 ","8,365 ","8,602 ","10,022 ","8,673 ",--,--,--,--,--,--,"12,543 ","12,066 ","11,861 ","11,664 ","11,175 ","8,057 ","12,319 ","13,453 ","11,196 ","14,123 ","14,731 ","9,614 ","15,306 ","16,932 ","15,086 ","14,856 ","17,111 ","16,135 ","16,340 ","18,938 ","21,545 ","22,008 ","20,185 ","20,379 ","20,724 ","20,248 ","20,237 ","20,168 ","20,409 ","19,479 ","22,482 ","22,481 ","22,347 ","19,033 ","20,032 ","19,814 ","19,867 ","9,793 ","19,575 ","19,729 ","18,349 ","15,822 ","15,089 ","15,111 ","17,040 ","16,582 ","17,246 "
"Depreciation of Right-of-Use Assets,Sup.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"7,058 ","7,259 ","7,560 ","7,594 ","7,424 ","7,499 ","7,567 ","7,563 ","7,431 ","7,522 ","6,265 ","4,129 ","4,170 ","4,152 ","4,084 ","4,080 ","4,097 "
"Interest Expense, Supplemental","8,153 ","8,858 ","7,188 ","6,717 ","8,563 ","8,781 ","8,770 ","11,885 ","9,607 ","8,796 ","7,556 ","7,776 ","6,513 ","8,077 ","8,443 ","12,245 ","9,323 ","9,032 ","9,604 ","8,006 ","7,299 ","6,396 ","5,668 ","6,519 ","4,258 ","5,205 ","5,934 ","5,899 ","5,723 ","7,043 ","13,760 ","12,342 ","11,281 ","11,816 ","10,739 ","11,701 ","10,925 ","10,503 ","11,662 ","12,720 ","12,429 ","16,343 ","12,265 ","12,355 ","12,031 ","13,031 ","14,929 ","2,338 ","15,085 ","15,580 ","16,204 ","12,638 ","15,255 ","16,012 ","16,627 ","16,742 ","15,574 ","15,557 ","15,408 ","16,065 ","17,732 ","17,152 ","16,246 ","14,806 ","13,533 ","11,807 ","11,941 ","10,614 ","10,296 ","10,763 ","12,343 ","11,360 ","13,698 ","16,599 ","21,980 ","22,910 ","23,227 "
"Interest Expense on Lease Liabs., Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,762 ","2,670 ","2,590 ","2,472 ","2,350 ","2,231 ","2,106 ","1,981 ","1,701 ","1,575 ","1,454 ","1,352 ","1,287 ","1,223 ","1,139 ",--,--
"Rental Expense, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,100 ","4,500 ","4,500 ","4,020 ","5,140 ","4,230 ","5,170 ","3,010 ","4,100 ","2,660 ","3,780 ","3,870 ","2,710 ","4,080 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Labor & Related Expense Suppl.,--,--,--,--,--,--,--,--,--,--,--,--,"8,314 ","8,314 ","8,314 ",--,"8,387 ","8,309 ","8,082 ","9,976 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Equity in Affiliates, Supplemental",0 ,448 ,0 ,448 ,--,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
