Lighting and Equipment PCL | Income Statement                                25-Sep-2024 17:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Net Income Before Taxes,920 ,"6,997 ","12,165 ","16,087 ","8,994 ","5,003 ","21,678 ","29,954 ","18,901 ","15,088 ","21,525 ","28,853 ","13,602 ","19,071 ","52,270 ","38,376 ","10,708 ","13,572 ","14,216 ","14,921 ","17,254 ","13,953 ","14,655 ","15,151 ","6,242 ","(7,700)","5,632 ","15,048 ","11,109 ","3,878 ","26,533 ","28,465 ","20,699 ","18,472 ","47,954 ","14,720 ","26,347 ","4,640 ","39,129 ","46,383 ","25,028 ","24,540 ","68,397 ","56,673 ","31,582 ","26,336 ","85,623 ","31,241 ","20,871 ","19,151 ","18,149 ","20,585 ","2,750 ","14,657 ","34,090 ","43,751 ","4,370 ","12,321 ","33,678 ","31,648 ","27,737 ","31,359 ","44,892 ","51,003 ","22,075 ","(17,159)","31,379 ","62,182 ","13,013 ","(5,584)","25,396 ","17,965 ","(3,312)","5,784 ","10,744 ","41,246 ","8,417 ","10,142 ","16,680 ","3,502 ","(3,484)","(22,582)","4,617 ","4,376 ","(12,390)","(17,049)"
Provision for Income Taxes,657 ,"2,152 ","4,219 ","5,382 ","2,989 ","1,978 ","7,189 ","9,331 ","5,660 ","5,117 ","4,163 ","6,949 ","3,258 ","4,664 ","13,553 ","8,944 ","2,793 ","3,012 ","3,164 ","3,010 ","4,121 ","3,097 ","2,828 ","2,906 ","1,834 ",(731),"1,496 ","2,450 ","2,587 ","2,037 ","7,936 ","6,816 ","5,517 ","5,514 ","15,001 ","3,937 ","6,474 ","1,690 ","8,611 ","10,314 ","3,807 ","5,158 ","13,018 ","9,254 ","5,105 ","2,732 ","12,616 ","7,271 ","3,494 ","3,039 ","4,598 ","5,512 ",854 ,"2,987 ","7,008 ","9,928 ","1,014 ","3,894 ","7,806 ","7,934 ","7,854 ","6,888 ","9,808 ","13,531 ","6,326 ",(889),"8,260 ","12,771 ","4,166 ",680 ,"5,941 ","2,872 ",(503),"1,102 ","2,409 ","7,625 ","(1,188)",(146),"3,041 ","5,613 ","(1,836)","(4,696)","1,215 ","12,335 ","1,034 ",(963)
Net Income After Taxes,263 ,"4,845 ","7,946 ","10,705 ","6,005 ","3,025 ","14,489 ","20,623 ","13,241 ","9,971 ","17,362 ","21,904 ","10,344 ","14,407 ","38,717 ","29,432 ","7,915 ","10,560 ","11,052 ","11,911 ","13,133 ","10,856 ","11,827 ","12,245 ","4,408 ","(6,969)","4,136 ","12,598 ","8,522 ","1,841 ","18,597 ","21,649 ","15,182 ","12,958 ","32,953 ","10,783 ","19,873 ","2,950 ","30,518 ","36,069 ","21,221 ","19,382 ","55,379 ","47,419 ","26,477 ","23,604 ","73,007 ","23,970 ","17,377 ","16,112 ","13,551 ","15,073 ","1,896 ","11,670 ","27,082 ","33,823 ","3,356 ","8,427 ","25,872 ","23,714 ","19,883 ","24,471 ","35,084 ","37,472 ","15,749 ","(16,270)","23,119 ","49,412 ","8,847 ","(6,264)","19,455 ","15,093 ","(2,809)","4,682 ","8,335 ","33,621 ","9,605 ","10,288 ","13,639 ","(2,112)","(1,648)","(17,886)","3,402 ","(7,958)","(13,424)","(16,086)"
Minority Interest,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(2),(1),0 ,(1),0 ,0 ,0 ,1 ,(1),0 ,0 ,0 ,0 ,0 ,(1),0 ,0 ,0 ,--,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,--,--,0 ,(2),0 ,0 ,0 ,(1),0 ,217 ,290 ,64 ,(32),(52),(222),(56),(14),(45),(162),(73),54 ,194 ,61 ,(308),(44),27 ,151 ,113 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,(2),(2),0 ,0 ,0 ,(1),2 ,2 ,2 ,0 ,1 
Net Income Before Extra. Items,263 ,"4,845 ","7,946 ","10,705 ","6,005 ","3,025 ","14,489 ","20,621 ","13,240 ","9,971 ","17,361 ","21,904 ","10,344 ","14,407 ","38,718 ","29,431 ","7,915 ","10,560 ","11,052 ","11,911 ","13,133 ","10,855 ","11,827 ","12,245 ","4,408 ","(6,969)","4,136 ","12,598 ","8,522 ","1,841 ","18,597 ","21,649 ","15,182 ","12,958 ","32,953 ","10,783 ","19,873 ","2,950 ","30,518 ","36,069 ","21,221 ","19,382 ","55,379 ","47,417 ","26,477 ","23,604 ","73,007 ","23,969 ","17,377 ","16,329 ","13,841 ","15,137 ","1,864 ","11,618 ","26,860 ","33,767 ","3,342 ","8,382 ","25,710 ","23,641 ","19,937 ","24,665 ","35,145 ","37,164 ","15,705 ","(16,243)","23,270 ","49,524 ","8,847 ","(6,264)","19,455 ","15,093 ","(2,809)","4,683 ","8,335 ","33,619 ","9,603 ","10,288 ","13,639 ","(2,112)","(1,649)","(17,884)","3,404 ","(7,956)","(13,424)","(16,085)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,263 ,"4,845 ","7,946 ","10,705 ","6,005 ","3,025 ","14,489 ","20,621 ","13,240 ","9,971 ","17,361 ","21,904 ","10,344 ","14,407 ","38,718 ","29,431 ","7,915 ","10,560 ","11,052 ","11,911 ","13,133 ","10,855 ","11,827 ","12,245 ","4,408 ","(6,969)","4,136 ","12,598 ","8,522 ","1,841 ","18,597 ","21,649 ","15,182 ","12,958 ","32,953 ","10,783 ","19,873 ","2,950 ","30,518 ","36,069 ","21,221 ","19,382 ","55,379 ","47,417 ","26,477 ","23,604 ","73,007 ","23,969 ","17,377 ","16,329 ","13,841 ","15,137 ","1,864 ","11,618 ","26,860 ","33,767 ","3,342 ","8,382 ","25,710 ","23,641 ","19,937 ","24,665 ","35,145 ","37,164 ","15,705 ","(16,243)","23,270 ","49,524 ","8,847 ","(6,264)","19,455 ","15,093 ","(2,809)","4,683 ","8,335 ","33,619 ","9,603 ","10,288 ","13,639 ","(2,112)","(1,649)","(17,884)","3,404 ","(7,956)","(13,424)","(16,085)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,263 ,"4,845 ","7,946 ","10,705 ","6,005 ","3,025 ","14,489 ","20,621 ","13,240 ","9,971 ","17,361 ","21,904 ","10,344 ","14,407 ","38,718 ","29,431 ","7,915 ","10,560 ","11,052 ","11,911 ","13,133 ","10,855 ","11,827 ","12,245 ","4,408 ","(6,969)","4,136 ","12,598 ","8,522 ","1,841 ","18,597 ","21,649 ","15,182 ","12,958 ","32,953 ","10,783 ","19,873 ","2,950 ","30,518 ","36,069 ","21,221 ","19,382 ","55,379 ","47,417 ","26,477 ","23,604 ","73,007 ","23,969 ","17,377 ","16,329 ","13,841 ","15,137 ","1,864 ","11,618 ","26,860 ","33,767 ","3,342 ","8,382 ","25,710 ","23,641 ","19,937 ","24,665 ","35,145 ","37,164 ","15,705 ","(16,243)","23,270 ","49,524 ","8,847 ","(6,264)","19,455 ","15,093 ","(2,809)","4,683 ","8,335 ","33,619 ","9,603 ","10,288 ","13,639 ","(2,112)","(1,649)","(17,884)","3,404 ","(7,956)","(13,424)","(16,085)"
Income Available to Com Incl ExtraOrd,263 ,"4,845 ","7,946 ","10,705 ","6,005 ","3,025 ","14,489 ","20,621 ","13,240 ","9,971 ","17,361 ","21,904 ","10,344 ","14,407 ","38,718 ","29,431 ","7,915 ","10,560 ","11,052 ","11,911 ","13,133 ","10,855 ","11,827 ","12,245 ","4,408 ","(6,969)","4,136 ","12,598 ","8,522 ","1,841 ","18,597 ","21,649 ","15,182 ","12,958 ","32,953 ","10,783 ","19,873 ","2,950 ","30,518 ","36,069 ","21,221 ","19,382 ","55,379 ","47,417 ","26,477 ","23,604 ","73,007 ","23,969 ","17,377 ","16,329 ","13,841 ","15,137 ","1,864 ","11,618 ","26,860 ","33,767 ","3,342 ","8,382 ","25,710 ","23,641 ","19,937 ","24,665 ","35,145 ","37,164 ","15,705 ","(16,243)","23,270 ","49,524 ","8,847 ","(6,264)","19,455 ","15,093 ","(2,809)","4,683 ","8,335 ","33,619 ","9,603 ","10,288 ","13,639 ","(2,112)","(1,649)","(17,884)","3,404 ","(7,956)","(13,424)","(16,085)"
Basic Weighted Average Shares,"107,142 ","107,142 ","107,142 ","107,142 ","161,537 ","224,998 ","257,549 ","232,085 ","294,641 ","297,879 ","294,641 ","294,641 ","294,641 ","294,641 ","294,641 ","294,641 ","294,640 ","294,640 ","294,641 ","294,642 ","294,640 ","297,878 ","294,640 ","294,646 ","294,640 ","294,640 ","294,640 ","294,640 ","294,653 ","297,891 ","294,653 ","294,653 ","294,653 ","294,653 ","294,653 ","294,678 ","313,643 ","321,113 ","328,763 ","330,518 ","349,861 ","370,619 ","384,125 ","384,247 ","384,124 ","384,123 ","384,123 ","390,791 ","431,084 ","438,840 ","433,353 ","431,917 ","444,922 ","483,271 ","461,972 ","447,209 ","457,345 ","508,683 ","492,040 ","492,233 ","492,040 ","497,447 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","502,854 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 "
Basic EPS Excluding Extraordinary Items,0.00 ,0.05 ,0.07 ,0.10 ,0.04 ,0.01 ,0.06 ,0.09 ,0.04 ,0.03 ,0.06 ,0.07 ,0.04 ,0.05 ,0.13 ,0.10 ,0.03 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.01 ,(0.02),0.01 ,0.04 ,0.03 ,0.01 ,0.06 ,0.07 ,0.05 ,0.04 ,0.11 ,0.04 ,0.06 ,0.01 ,0.09 ,0.11 ,0.06 ,0.05 ,0.14 ,0.12 ,0.07 ,0.06 ,0.19 ,0.06 ,0.04 ,0.04 ,0.03 ,0.04 ,0.00 ,0.03 ,0.06 ,0.08 ,0.01 ,0.02 ,0.05 ,0.05 ,0.04 ,0.05 ,0.07 ,0.08 ,0.03 ,(0.03),0.05 ,0.10 ,0.02 ,(0.01),0.04 ,0.03 ,(0.01),0.01 ,0.02 ,0.07 ,0.02 ,0.02 ,0.03 ,0.00 ,0.00 ,(0.04),0.01 ,(0.02),(0.03),(0.03)
Basic EPS Including Extraordinary Items,0.00 ,0.05 ,0.07 ,0.10 ,0.04 ,0.01 ,0.06 ,0.09 ,0.04 ,0.03 ,0.06 ,0.07 ,0.04 ,0.05 ,0.13 ,0.10 ,0.03 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.01 ,(0.02),0.01 ,0.04 ,0.03 ,0.01 ,0.06 ,0.07 ,0.05 ,0.04 ,0.11 ,0.04 ,0.06 ,0.01 ,0.09 ,0.11 ,0.06 ,0.05 ,0.14 ,0.12 ,0.07 ,0.06 ,0.19 ,0.06 ,0.04 ,0.04 ,0.03 ,0.04 ,0.00 ,0.03 ,0.06 ,0.08 ,0.01 ,0.02 ,0.05 ,0.05 ,0.04 ,0.05 ,0.07 ,0.08 ,0.03 ,(0.03),0.05 ,0.10 ,0.02 ,(0.01),0.04 ,0.03 ,(0.01),0.01 ,0.02 ,0.07 ,0.02 ,0.02 ,0.03 ,0.00 ,0.00 ,(0.04),0.01 ,(0.02),(0.03),(0.03)
Dilution Adjustment,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,0 ,0 ,--,--,0 ,0 ,--,0 ,--,0 ,--,0 ,--,--,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Diluted Net Income,263 ,"4,845 ","7,946 ","10,705 ","6,005 ","3,025 ","14,489 ","20,621 ","13,240 ","9,971 ","17,361 ","21,904 ","10,344 ","14,407 ","38,718 ","29,431 ","7,915 ","10,560 ","11,052 ","11,911 ","13,133 ","10,855 ","11,827 ","12,245 ","4,408 ","(6,969)","4,136 ","12,598 ","8,522 ","1,841 ","18,597 ","21,649 ","15,182 ","12,958 ","32,953 ","10,783 ","19,873 ","2,950 ","30,518 ","36,069 ","21,221 ","19,382 ","55,379 ","47,417 ","26,477 ","23,604 ","73,007 ","23,969 ","17,377 ","16,329 ","13,841 ","15,137 ","1,864 ","11,618 ","26,860 ","33,767 ","3,342 ","8,382 ","25,710 ","23,641 ","19,937 ","24,665 ","35,145 ","37,164 ","15,705 ","(16,243)","23,270 ","49,524 ","8,847 ","(6,264)","19,455 ","15,093 ","(2,809)","4,683 ","8,335 ","33,619 ","9,603 ","10,288 ","13,639 ","(2,112)","(1,649)","(17,884)","3,404 ","(7,956)","(13,424)","(16,085)"
Diluted Weighted Average Shares,"107,142 ","107,142 ","107,142 ","107,142 ","161,537 ","224,998 ","257,549 ","232,085 ","294,641 ","297,879 ","294,641 ","294,641 ","294,641 ","294,641 ","294,641 ","294,641 ","294,640 ","294,640 ","294,641 ","294,642 ","294,640 ","297,878 ","294,640 ","294,646 ","294,640 ","294,640 ","294,640 ","294,691 ","294,653 ","297,891 ","294,653 ","294,653 ","385,314 ","385,314 ","375,254 ","294,678 ","365,290 ","372,747 ","379,940 ","377,607 ","370,574 ","370,619 ","384,125 ","384,247 ","384,124 ","384,123 ","450,735 ","394,060 ","466,457 ","470,206 ","466,540 ","431,917 ","461,565 ","466,628 ","461,972 ","448,192 ","457,345 ","508,683 ","492,040 ","492,233 ","492,040 ","497,447 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","502,854 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 ","492,040 "
Diluted EPS Excluding ExtraOrd Items,0.00 ,0.05 ,0.07 ,0.10 ,0.04 ,0.01 ,0.06 ,0.09 ,0.04 ,0.03 ,0.06 ,0.07 ,0.04 ,0.05 ,0.13 ,0.10 ,0.03 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.01 ,(0.02),0.01 ,0.04 ,0.03 ,0.01 ,0.06 ,0.07 ,0.04 ,0.03 ,0.09 ,0.04 ,0.05 ,0.01 ,0.08 ,0.10 ,0.06 ,0.05 ,0.14 ,0.12 ,0.07 ,0.06 ,0.16 ,0.06 ,0.04 ,0.04 ,0.03 ,0.04 ,0.00 ,0.03 ,0.06 ,0.08 ,0.01 ,0.02 ,0.05 ,0.05 ,0.04 ,0.05 ,0.07 ,0.08 ,0.03 ,(0.03),0.05 ,0.10 ,0.02 ,(0.01),0.04 ,0.03 ,(0.01),0.01 ,0.02 ,0.07 ,0.02 ,0.02 ,0.03 ,0.00 ,0.00 ,(0.04),0.01 ,(0.02),(0.03),(0.03)
Diluted EPS Including ExtraOrd Items,0.00 ,0.05 ,0.07 ,0.10 ,0.04 ,0.01 ,0.06 ,0.09 ,0.04 ,0.03 ,0.06 ,0.07 ,0.04 ,0.05 ,0.13 ,0.10 ,0.03 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.01 ,(0.02),0.01 ,0.04 ,0.03 ,0.01 ,0.06 ,0.07 ,0.04 ,0.03 ,0.09 ,0.04 ,0.05 ,0.01 ,0.08 ,0.10 ,0.06 ,0.05 ,0.14 ,0.12 ,0.07 ,0.06 ,0.16 ,0.06 ,0.04 ,0.04 ,0.03 ,0.04 ,0.00 ,0.03 ,0.06 ,0.08 ,0.01 ,0.02 ,0.05 ,0.05 ,0.04 ,0.05 ,0.07 ,0.08 ,0.03 ,(0.03),0.05 ,0.10 ,0.02 ,(0.01),0.04 ,0.03 ,(0.01),0.01 ,0.02 ,0.07 ,0.02 ,0.02 ,0.03 ,0.00 ,0.00 ,(0.04),0.01 ,(0.02),(0.03),(0.03)
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.18 ,0.00 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 ,0.00 ,0.15 ,0.00 ,0.00 ,0.00 ,0.12 ,0.00 ,0.00 ,0.00 ,0.16 ,0.00 ,0.00 ,0.00 ,0.14 ,0.00 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 
Gross Dividends - Common Stock,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"19,250 ",0 ,0 ,0 ,"25,000 ",0 ,0 ,0 ,"10,176 ",0 ,0 ,0 ,"24,750 ",0 ,0 ,0 ,"19,250 ",0 ,0 ,0 ,"11,459 ",0 ,0 ,0 ,"20,630 ",0 ,0 ,0 ,"29,130 ",0 ,0 ,0 ,"39,560 ",0 ,0 ,0 ,"14,981 ",0 ,0 ,0 ,"77,560 ",0 ,0 ,0 ,"41,150 ",0 ,0 ,0 ,"68,380 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Special Items,--,--,--,--,0 ,--,--,--,"(6,702)",(634),48 ,"7,288 ",0 ,0 ,5 ,(5),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,816)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Normalized Income Before Taxes,920 ,"6,997 ","12,165 ","16,087 ","8,994 ","5,003 ","21,678 ","29,954 ","12,199 ","14,454 ","21,573 ","36,141 ","13,602 ","19,071 ","52,275 ","38,371 ","10,708 ","13,572 ","14,216 ","14,921 ","17,254 ","13,953 ","14,655 ","15,151 ","6,242 ","(7,700)","5,632 ","15,048 ","11,109 ","3,878 ","26,533 ","28,465 ","20,699 ","18,472 ","47,954 ","14,720 ","26,347 ","4,640 ","39,129 ","46,383 ","25,028 ","24,540 ","68,397 ","56,673 ","31,582 ","26,336 ","85,623 ","31,241 ","20,871 ","19,151 ","18,149 ","20,585 ","2,750 ","14,657 ","34,090 ","43,751 ","4,370 ","12,321 ","33,678 ","31,648 ","27,737 ","31,359 ","44,892 ","51,003 ","22,075 ","(17,159)","31,379 ","62,182 ","11,197 ","(5,584)","25,396 ","17,965 ","(3,312)","5,784 ","10,744 ","41,246 ","8,417 ","10,142 ","16,680 ","3,502 ","(3,484)","(22,582)","4,617 ","4,376 ","(12,390)","(17,049)"
Effect of Special Items on Income Taxes,--,--,--,--,0 ,--,--,--,"(2,007)",(319),9 ,"1,755 ",0 ,0 ,1 ,(1),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(581),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inc Tax Ex Impact of Sp Items,657 ,"2,152 ","4,219 ","5,382 ","2,989 ","1,978 ","7,189 ","9,331 ","3,653 ","4,798 ","4,172 ","8,704 ","3,258 ","4,664 ","13,554 ","8,943 ","2,793 ","3,012 ","3,164 ","3,010 ","4,121 ","3,097 ","2,828 ","2,906 ","1,834 ",(731),"1,496 ","2,450 ","2,587 ","2,037 ","7,936 ","6,816 ","5,517 ","5,514 ","15,001 ","3,937 ","6,474 ","1,690 ","8,611 ","10,314 ","3,807 ","5,158 ","13,018 ","9,254 ","5,105 ","2,732 ","12,616 ","7,271 ","3,494 ","3,039 ","4,598 ","5,512 ",854 ,"2,987 ","7,008 ","9,928 ","1,014 ","3,894 ","7,806 ","7,934 ","7,854 ","6,888 ","9,808 ","13,531 ","6,326 ",(889),"8,260 ","12,771 ","3,585 ",680 ,"5,941 ","2,872 ",(503),"1,102 ","2,409 ","7,625 ","(1,188)",(146),"3,041 ","5,613 ","(1,836)","(4,696)","1,215 ","12,335 ","1,034 ",(963)
Normalized Income After Taxes,263 ,"4,845 ","7,946 ","10,705 ","6,005 ","3,025 ","14,489 ","20,623 ","8,546 ","9,656 ","17,401 ","27,437 ","10,344 ","14,407 ","38,721 ","29,428 ","7,915 ","10,560 ","11,052 ","11,911 ","13,133 ","10,856 ","11,827 ","12,245 ","4,408 ","(6,969)","4,136 ","12,598 ","8,522 ","1,841 ","18,597 ","21,649 ","15,182 ","12,958 ","32,953 ","10,783 ","19,873 ","2,950 ","30,518 ","36,069 ","21,221 ","19,382 ","55,379 ","47,419 ","26,477 ","23,604 ","73,007 ","23,970 ","17,377 ","16,112 ","13,551 ","15,073 ","1,896 ","11,670 ","27,082 ","33,823 ","3,356 ","8,427 ","25,872 ","23,714 ","19,883 ","24,471 ","35,084 ","37,472 ","15,749 ","(16,270)","23,119 ","49,412 ","7,612 ","(6,264)","19,455 ","15,093 ","(2,809)","4,682 ","8,335 ","33,621 ","9,605 ","10,288 ","13,639 ","(2,112)","(1,648)","(17,886)","3,402 ","(7,958)","(13,424)","(16,086)"
Normalized Inc. Avail to Com.,263 ,"4,845 ","7,946 ","10,705 ","6,005 ","3,025 ","14,489 ","20,621 ","8,545 ","9,656 ","17,400 ","27,437 ","10,344 ","14,407 ","38,722 ","29,427 ","7,915 ","10,560 ","11,052 ","11,911 ","13,133 ","10,855 ","11,827 ","12,245 ","4,408 ","(6,969)","4,136 ","12,598 ","8,522 ","1,841 ","18,597 ","21,649 ","15,182 ","12,958 ","32,953 ","10,783 ","19,873 ","2,950 ","30,518 ","36,069 ","21,221 ","19,382 ","55,379 ","47,417 ","26,477 ","23,604 ","73,007 ","23,969 ","17,377 ","16,329 ","13,841 ","15,137 ","1,864 ","11,618 ","26,860 ","33,767 ","3,342 ","8,382 ","25,710 ","23,641 ","19,937 ","24,665 ","35,145 ","37,164 ","15,705 ","(16,243)","23,270 ","49,524 ","7,612 ","(6,264)","19,455 ","15,093 ","(2,809)","4,683 ","8,335 ","33,619 ","9,603 ","10,288 ","13,639 ","(2,112)","(1,649)","(17,884)","3,404 ","(7,956)","(13,424)","(16,085)"
Basic Normalized EPS,0.00 ,0.05 ,0.07 ,0.10 ,0.04 ,0.01 ,0.06 ,0.09 ,0.03 ,0.03 ,0.06 ,0.09 ,0.04 ,0.05 ,0.13 ,0.10 ,0.03 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.01 ,(0.02),0.01 ,0.04 ,0.03 ,0.01 ,0.06 ,0.07 ,0.05 ,0.04 ,0.11 ,0.04 ,0.06 ,0.01 ,0.09 ,0.11 ,0.06 ,0.05 ,0.14 ,0.12 ,0.07 ,0.06 ,0.19 ,0.06 ,0.04 ,0.04 ,0.03 ,0.04 ,0.00 ,0.03 ,0.06 ,0.08 ,0.01 ,0.02 ,0.05 ,0.05 ,0.04 ,0.05 ,0.07 ,0.08 ,0.03 ,(0.03),0.05 ,0.10 ,0.02 ,(0.01),0.04 ,0.03 ,(0.01),0.01 ,0.02 ,0.07 ,0.02 ,0.02 ,0.03 ,0.00 ,0.00 ,(0.04),0.01 ,(0.02),(0.03),(0.03)
Diluted Normalized EPS,0.00 ,0.05 ,0.07 ,0.10 ,0.04 ,0.01 ,0.06 ,0.09 ,0.03 ,0.03 ,0.06 ,0.09 ,0.04 ,0.05 ,0.13 ,0.10 ,0.03 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.01 ,(0.02),0.01 ,0.04 ,0.03 ,0.01 ,0.06 ,0.07 ,0.04 ,0.03 ,0.09 ,0.04 ,0.05 ,0.01 ,0.08 ,0.10 ,0.06 ,0.05 ,0.14 ,0.12 ,0.07 ,0.06 ,0.16 ,0.06 ,0.04 ,0.04 ,0.03 ,0.04 ,0.00 ,0.03 ,0.06 ,0.08 ,0.01 ,0.02 ,0.05 ,0.05 ,0.04 ,0.05 ,0.07 ,0.08 ,0.03 ,(0.03),0.05 ,0.10 ,0.02 ,(0.01),0.04 ,0.03 ,(0.01),0.01 ,0.02 ,0.07 ,0.02 ,0.02 ,0.03 ,0.00 ,0.00 ,(0.04),0.01 ,(0.02),(0.03),(0.03)
"Depreciation, Supplemental",--,"4,331 ","2,274 ","2,641 ",0 ,"5,677 ","2,990 ","3,481 ","3,627 ","3,121 ","5,363 ","2,789 ","4,620 ","4,036 ","4,323 ","3,061 ","4,734 ","4,693 ","5,769 ","3,986 ","6,062 ","6,669 ","6,903 ","6,251 ","7,911 ","8,496 ","8,815 ","(11,021)","8,484 ",--,"8,038 ","8,203 ","8,458 ","2,427 ","8,323 ","8,488 ","8,562 ","8,999 ","10,578 ","7,433 ","9,105 ","10,107 ","7,957 ","9,461 ","8,401 ","8,294 ","8,902 ","9,801 ","10,872 ","15,407 ","16,811 ","20,928 ","19,854 ","20,024 ","20,336 ","20,729 ","20,620 ","20,275 ","20,580 ","20,756 ","20,231 ","20,401 ","20,581 ","20,824 ","20,998 ","22,893 ","22,384 ","21,755 ","25,737 ","36,677 ","32,107 ","27,613 ","29,716 ","31,013 ","28,108 ","33,819 ","30,771 ","31,969 ","33,727 ","29,519 ","32,127 ","32,258 ","33,453 ","33,327 ","32,020 ","31,378 "
"Depreciation of Right-of-Use Assets,Sup.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,714 ","10,422 ","15,264 ","10,501 ","11,518 ",--,--,--,--,--,--,--,--,--,--,--,--,--
