Stark Corporation PCL                                12-Sep-2024 13:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Net Income Before Extra. Items,,"15,799 ","16,985 ","2,863 ","23,821 ","19,356 ","19,206 ","7,075 ","(2,367)","3,466 ","3,398 ","(23,880)","(18,062)","(5,877)","2,045 ",211 ,"(21,834)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"13,277 ","14,031 ","(3,928)","3,894 ","9,683 ","14,192 ","1,911 ","(8,328)","(9,594)","5,189 ","2,665 ","(6,493)","4,025 ","(9,550)","(12,412)","(18,861)","(25,977)","(16,956)","(36,063)","(79,552)","(37,831)","(29,046)","22,503 ","(34,376)","(3,696)","145,383 ","91,960 ","128,355 ","124,574 ","8,097 ","(65,302)","72,337 ","260,933 ","426,942 ","395,476 ","437,409 ","438,076 ","524,445 ","912,508 ","(7,840,464)","569,793 ","690,638 ","956,035 ","(8,828,597)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discontinued Operations,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,"(15,782)",0 ,0 ,--,--,--,--,--,--,--,--,--,--,--
Extraordinary Item,,0 ,--,--,0 ,0 ,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Extraordinary Items,,0 ,--,--,0 ,0 ,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,"(15,782)",0 ,0 ,--,--,--,--,--,--,--,--,--,--,--
Net Income,,"15,799 ","16,985 ","2,863 ","23,821 ","19,356 ","19,206 ","7,075 ","(2,367)","3,466 ","3,398 ","(23,880)","(18,062)","(5,877)","2,045 ",211 ,"(21,834)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"13,277 ","14,031 ","(3,928)","3,894 ","9,683 ","14,192 ","1,911 ","(8,328)","(9,594)","5,189 ","2,665 ","(6,493)","4,025 ","(9,550)","(12,412)","(18,861)","(25,977)","(16,956)","(36,063)","(79,552)","(37,831)","(29,046)","22,503 ","(34,376)","(3,696)","145,383 ","91,960 ","128,355 ","124,574 ","8,097 ","(81,084)","72,337 ","260,933 ","426,942 ","395,476 ","437,409 ","438,076 ","524,445 ","912,508 ","(7,840,464)","569,793 ","690,638 ","956,035 ","(8,828,597)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,,"15,799 ","16,985 ","2,863 ","23,821 ","19,356 ","19,206 ","7,075 ","(2,367)","3,466 ","3,398 ","(23,880)","(18,062)","(5,877)","2,045 ",211 ,"(21,834)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"13,277 ","14,031 ","(3,928)","3,894 ","9,683 ","14,192 ","1,911 ","(8,328)","(9,594)","5,189 ","2,665 ","(6,493)","4,025 ","(9,550)","(12,412)","(18,861)","(25,977)","(16,956)","(36,063)","(79,552)","(37,831)","(29,046)","22,503 ","(34,376)","(3,696)","145,383 ","91,960 ","128,355 ","124,574 ","8,097 ","(65,302)","72,337 ","260,933 ","426,942 ","395,476 ","437,409 ","438,076 ","524,445 ","912,508 ","(7,840,464)","569,793 ","690,638 ","956,035 ","(8,828,597)"
Income Available to Com Incl ExtraOrd,,"15,799 ","16,985 ","2,863 ","23,821 ","19,356 ","19,206 ","7,075 ","(2,367)","3,466 ","3,398 ","(23,880)","(18,062)","(5,877)","2,045 ",211 ,"(21,834)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"13,277 ","14,031 ","(3,928)","3,894 ","9,683 ","14,192 ","1,911 ","(8,328)","(9,594)","5,189 ","2,665 ","(6,493)","4,025 ","(9,550)","(12,412)","(18,861)","(25,977)","(16,956)","(36,063)","(79,552)","(37,831)","(29,046)","22,503 ","(34,376)","(3,696)","145,383 ","91,960 ","128,355 ","124,574 ","8,097 ","(81,084)","72,337 ","260,933 ","426,942 ","395,476 ","437,409 ","438,076 ","524,445 ","912,508 ","(7,840,464)","569,793 ","690,638 ","956,035 ","(8,828,597)"
Basic Weighted Average Shares,,"93,704 ","93,704 ","93,704 ","93,704 ","100,992 ","116,727 ","132,288 ","148,279 ","132,288 ","133,742 ","132,288 ","132,288 ","132,288 ","133,742 ","132,288 ","132,288 ","132,288 ","133,742 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","138,259 ","138,259 ","132,316 ","151,928 ","138,222 ","140,746 ","138,722 ","138,721 ","149,308 ","149,308 ","149,309 ","149,309 ","149,309 ","149,309 ","149,309 ","149,309 ","149,309 ","149,309 ","149,308 ","149,309 ","167,001 ","167,001 ","167,001 ","167,001 ","173,609 ","162,226 ","167,000 ","167,015 ","167,019 ","167,019 ","10,151,630 ","4,191,030 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","12,168,084 ","11,906,405 ","11,906,405 ","11,906,405 ","13,320,104 "
Basic EPS Excluding Extraordinary Items,,0.17 ,0.18 ,0.03 ,0.25 ,0.19 ,0.16 ,0.05 ,(0.02),0.03 ,0.03 ,(0.18),(0.14),(0.04),0.02 ,0.00 ,(0.17),(0.20),(0.15),(0.28),(0.15),0.05 ,0.04 ,0.00 ,0.09 ,0.04 ,0.05 ,0.01 ,0.02 ,0.02 ,0.01 ,0.03 ,0.00 ,0.10 ,0.10 ,(0.03),0.03 ,0.07 ,0.10 ,0.01 ,(0.06),(0.06),0.03 ,0.02 ,(0.04),0.03 ,(0.06),(0.08),(0.13),(0.17),(0.11),(0.24),(0.53),(0.23),(0.17),0.13 ,(0.21),(0.02),0.87 ,0.55 ,0.77 ,0.75 ,0.05 ,(0.01),0.02 ,0.02 ,0.04 ,0.03 ,0.04 ,0.04 ,0.04 ,0.08 ,(0.66),0.05 ,0.06 ,0.08 ,(0.66)
Basic EPS Including Extraordinary Items,,0.17 ,0.18 ,0.03 ,0.25 ,0.19 ,0.16 ,0.05 ,(0.02),0.03 ,0.03 ,(0.18),(0.14),(0.04),0.02 ,0.00 ,(0.17),(0.20),(0.15),(0.28),(0.15),0.05 ,0.04 ,0.00 ,0.09 ,0.04 ,0.05 ,0.01 ,0.02 ,0.02 ,0.01 ,0.03 ,0.00 ,0.10 ,0.10 ,(0.03),0.03 ,0.07 ,0.10 ,0.01 ,(0.06),(0.06),0.03 ,0.02 ,(0.04),0.03 ,(0.06),(0.08),(0.13),(0.17),(0.11),(0.24),(0.53),(0.23),(0.17),0.13 ,(0.21),(0.02),0.87 ,0.55 ,0.77 ,0.75 ,0.05 ,(0.01),0.02 ,0.02 ,0.04 ,0.03 ,0.04 ,0.04 ,0.04 ,0.08 ,(0.66),0.05 ,0.06 ,0.08 ,(0.66)
Dilution Adjustment,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,--,0 ,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Diluted Net Income,,"15,799 ","16,985 ","2,863 ","23,821 ","19,356 ","19,206 ","7,075 ","(2,367)","3,466 ","3,398 ","(23,880)","(18,062)","(5,877)","2,045 ",211 ,"(21,834)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"13,277 ","14,031 ","(3,928)","3,894 ","9,683 ","14,192 ","1,911 ","(8,328)","(9,594)","5,189 ","2,665 ","(6,493)","4,025 ","(9,550)","(12,412)","(18,861)","(25,977)","(16,956)","(36,063)","(79,552)","(37,831)","(29,046)","22,503 ","(34,376)","(3,696)","145,383 ","91,960 ","128,355 ","124,574 ","8,097 ","(81,084)","72,337 ","260,933 ","426,942 ","395,476 ","437,409 ","438,076 ","524,445 ","912,508 ","(7,840,464)","569,793 ","690,638 ","956,035 ","(8,828,597)"
Diluted Weighted Average Shares,,"93,704 ","93,704 ","93,704 ","93,704 ","100,992 ","116,727 ","132,288 ","148,279 ","132,288 ","133,742 ","132,288 ","132,288 ","132,288 ","133,742 ","132,288 ","132,288 ","132,288 ","133,742 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","132,288 ","138,259 ","138,259 ","132,316 ","151,928 ","153,505 ","161,764 ","156,888 ","138,721 ","149,308 ","149,308 ","149,309 ","149,309 ","149,309 ","149,309 ","149,309 ","149,309 ","149,309 ","149,309 ","149,308 ","149,309 ","167,001 ","167,001 ","167,001 ","167,001 ","173,609 ","162,226 ","167,000 ","167,015 ","167,019 ","167,019 ","10,151,630 ","4,191,030 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","11,906,405 ","12,168,084 ","11,906,405 ","11,906,405 ","11,906,405 ","13,320,104 "
Diluted EPS Excluding ExtraOrd Items,,0.17 ,0.18 ,0.03 ,0.25 ,0.19 ,0.16 ,0.05 ,(0.02),0.03 ,0.03 ,(0.18),(0.14),(0.04),0.02 ,0.00 ,(0.17),(0.20),(0.15),(0.28),(0.15),0.05 ,0.04 ,0.00 ,0.09 ,0.04 ,0.05 ,0.01 ,0.02 ,0.02 ,0.01 ,0.03 ,0.00 ,0.10 ,0.10 ,(0.03),0.03 ,0.06 ,0.09 ,0.01 ,(0.06),(0.06),0.03 ,0.02 ,(0.04),0.03 ,(0.06),(0.08),(0.13),(0.17),(0.11),(0.24),(0.53),(0.23),(0.17),0.13 ,(0.21),(0.02),0.87 ,0.55 ,0.77 ,0.75 ,0.05 ,(0.01),0.02 ,0.02 ,0.04 ,0.03 ,0.04 ,0.04 ,0.04 ,0.08 ,(0.66),0.05 ,0.06 ,0.08 ,(0.66)
Diluted EPS Including ExtraOrd Items,,0.17 ,0.18 ,0.03 ,0.25 ,0.19 ,0.16 ,0.05 ,(0.02),0.03 ,0.03 ,(0.18),(0.14),(0.04),0.02 ,0.00 ,(0.17),(0.20),(0.15),(0.28),(0.15),0.05 ,0.04 ,0.00 ,0.09 ,0.04 ,0.05 ,0.01 ,0.02 ,0.02 ,0.01 ,0.03 ,0.00 ,0.10 ,0.10 ,(0.03),0.03 ,0.06 ,0.09 ,0.01 ,(0.06),(0.06),0.03 ,0.02 ,(0.04),0.03 ,(0.06),(0.08),(0.13),(0.17),(0.11),(0.24),(0.53),(0.23),(0.17),0.13 ,(0.21),(0.02),0.87 ,0.55 ,0.77 ,0.75 ,0.05 ,(0.01),0.02 ,0.02 ,0.04 ,0.03 ,0.04 ,0.04 ,0.04 ,0.08 ,(0.66),0.05 ,0.06 ,0.08 ,(0.66)
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,,0.00 ,0.00 ,0.00 ,0.27 ,0.00 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,--,--,--,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Gross Dividends - Common Stock,,0 ,0 ,0 ,"36,000 ",0 ,0 ,0 ,"9,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,800 ",0 ,0 ,0 ,"4,800 ",0 ,0 ,0 ,"1,657 ",0 ,0 ,0 ,"5,778 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,--,--
"Impairment-Assets Held for Use, Suppl.",,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,"1,976 ","12,428 "
"Non-Recurring Items, Supplemental, Total",,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,"1,976 ","12,428 "
Total Special Items,,"(1,321)",138 ,"4,385 ","(3,724)",560 ,(102),185 ,(643),0 ,"26,649 ","4,436 ","(31,085)","7,095 ","4,799 ",0 ,"(1,324)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,"162,447 ",0 ,--,--,--,--,--,--,--,--,0 ,0 ,"1,976 ","12,428 "
Normalized Income Before Taxes,,"22,465 ","25,186 ","12,032 ","31,040 ","32,106 ","26,670 ","13,293 ","(2,432)","6,146 ","32,057 ","(18,610)","(54,671)","4,021 ","8,807 ",(110),"(27,603)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"16,810 ","17,636 ","(4,666)","4,843 ","12,334 ","16,550 ","3,730 ","(5,496)","(11,777)","6,573 ","3,453 ","(8,362)","5,165 ","(8,544)","(14,864)","(31,248)","(31,926)","(21,043)","(36,063)","(78,618)","(24,507)","(29,387)","25,777 ","(36,465)","(3,733)","218,424 ","160,723 ","332,093 ","208,231 ","59,238 ","170,116 ","127,834 ","342,292 ","552,970 ","473,260 ","563,226 ","567,757 ","625,308 ","1,206,774 ","(7,654,875)","808,625 ","958,746 ","1,200,826 ","(9,181,535)"
Effect of Special Items on Income Taxes,,(444),44 ,"1,535 ","(1,172)",216 ,(29),85 ,(225),0 ,"10,817 ","1,553 ","(10,880)","2,483 ","1,680 ",0 ,(463),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,"56,856 ",0 ,--,--,--,--,--,--,--,--,0 ,0 ,390 ,"4,350 "
Inc Tax Ex Impact of Sp Items,,"7,543 ","8,107 ","6,319 ","9,771 ","12,406 ","7,537 ","6,118 ",353 ,"2,680 ","12,827 ","2,387 ","(16,404)","5,286 ","3,643 ",(321),"(4,908)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,533 ","3,605 ",(738),949 ,"2,651 ","2,367 ","1,829 ","2,842 ","(2,171)","1,379 ",782 ,"(1,834)","1,141 ","1,005 ","(2,452)","(12,387)","(5,949)","(4,087)",0 ,935 ,"13,324 ",(341),"3,274 ","(2,089)",(37),"57,306 ","60,464 ","64,603 ","46,449 ","34,749 ","90,353 ","30,672 ","79,439 ","122,978 ","75,002 ","123,486 ","126,638 ","97,435 ","291,312 ","218,888 ","226,915 ","270,007 ","236,896 ","(305,675)"
Normalized Income After Taxes,,"14,922 ","17,079 ","5,713 ","21,269 ","19,700 ","19,133 ","7,175 ","(2,785)","3,466 ","19,230 ","(20,997)","(38,267)","(1,265)","5,164 ",211 ,"(22,695)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"13,277 ","14,031 ","(3,928)","3,894 ","9,683 ","14,183 ","1,901 ","(8,338)","(9,606)","5,194 ","2,671 ","(6,527)","4,025 ","(9,550)","(12,412)","(18,861)","(25,977)","(16,956)","(36,063)","(79,552)","(37,831)","(29,046)","22,503 ","(34,376)","(3,696)","161,118 ","100,259 ","267,490 ","161,782 ","24,489 ","79,763 ","97,161 ","262,854 ","429,992 ","398,258 ","439,740 ","441,120 ","527,872 ","915,462 ","(7,873,762)","581,710 ","688,739 ","963,930 ","(8,875,860)"
Normalized Inc. Avail to Com.,,"14,922 ","17,079 ","5,713 ","21,269 ","19,700 ","19,133 ","7,175 ","(2,785)","3,466 ","19,230 ","(20,997)","(38,267)","(1,265)","5,164 ",211 ,"(22,695)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"13,277 ","14,031 ","(3,928)","3,894 ","9,683 ","14,192 ","1,911 ","(8,328)","(9,594)","5,189 ","2,665 ","(6,493)","4,025 ","(9,550)","(12,412)","(18,861)","(25,977)","(16,956)","(36,063)","(79,552)","(37,831)","(29,046)","22,503 ","(34,376)","(3,696)","145,383 ","91,960 ","128,355 ","124,574 ","8,097 ","40,288 ","72,337 ","260,933 ","426,942 ","395,476 ","437,409 ","438,076 ","524,445 ","912,508 ","(7,840,464)","569,793 ","690,638 ","957,622 ","(8,820,518)"
Basic Normalized EPS,,0.16 ,0.18 ,0.06 ,0.23 ,0.20 ,0.16 ,0.05 ,(0.02),0.03 ,0.15 ,(0.16),(0.29),(0.01),0.04 ,0.00 ,(0.17),(0.20),(0.15),(0.28),(0.15),0.05 ,0.04 ,0.00 ,0.09 ,0.04 ,0.05 ,0.01 ,0.02 ,0.02 ,0.01 ,0.03 ,0.00 ,0.10 ,0.10 ,(0.03),0.03 ,0.07 ,0.10 ,0.01 ,(0.06),(0.06),0.03 ,0.02 ,(0.04),0.03 ,(0.06),(0.08),(0.13),(0.17),(0.11),(0.24),(0.53),(0.23),(0.17),0.13 ,(0.21),(0.02),0.87 ,0.55 ,0.77 ,0.75 ,0.05 ,0.00 ,0.02 ,0.02 ,0.04 ,0.03 ,0.04 ,0.04 ,0.04 ,0.08 ,(0.66),0.05 ,0.06 ,0.08 ,(0.66)
Diluted Normalized EPS,,0.16 ,0.18 ,0.06 ,0.23 ,0.20 ,0.16 ,0.05 ,(0.02),0.03 ,0.15 ,(0.16),(0.29),(0.01),0.04 ,0.00 ,(0.17),(0.20),(0.15),(0.28),(0.15),0.05 ,0.04 ,0.00 ,0.09 ,0.04 ,0.05 ,0.01 ,0.02 ,0.02 ,0.01 ,0.03 ,0.00 ,0.10 ,0.10 ,(0.03),0.03 ,0.06 ,0.09 ,0.01 ,(0.06),(0.06),0.03 ,0.02 ,(0.04),0.03 ,(0.06),(0.08),(0.13),(0.17),(0.11),(0.24),(0.53),(0.23),(0.17),0.13 ,(0.21),(0.02),0.87 ,0.55 ,0.77 ,0.75 ,0.05 ,0.00 ,0.02 ,0.02 ,0.04 ,0.03 ,0.04 ,0.04 ,0.04 ,0.08 ,(0.66),0.05 ,0.06 ,0.08 ,(0.66)
"Amort of Intangibles, Supplemental",,"4,135 ","3,790 ","4,685 ","9,693 ","5,161 ","6,239 ","5,982 ","4,908 ","2,184 ","7,970 ","11,381 ","9,388 ","8,931 ","2,269 ","2,574 ","2,030 ","2,668 ","4,787 ","4,817 ","35,370 ","3,152 ","2,996 ",--,"38,113 ","8,037 ","5,608 ","4,720 ","5,797 ",--,--,--,--,"6,478 ","6,335 ","5,593 ","5,354 ","6,389 ",--,"5,832 ",--,--,--,--,--,"6,909 ",--,--,--,--,--,--,--,--,--,--,--,--,--,"5,209 ","1,753 ","1,707 ","1,748 ","1,777 ","1,774 ","1,750 ","1,969 ","2,002 ","1,929 ","1,832 ","1,776 ","1,915 ","1,668 ",153 ,85 ,341 ,--
"Depreciation, Supplemental",,"3,021 ","3,108 ","3,162 ","3,209 ","3,066 ","2,997 ","3,163 ","3,274 ","3,247 ","3,241 ","3,280 ","3,274 ","3,161 ","3,226 ","3,059 ","2,731 ","2,751 ","2,727 ","2,760 ","2,759 ","2,692 ","2,777 ","2,802 ","2,810 ","2,958 ","3,033 ","3,267 ","3,301 ",--,--,--,--,"3,740 ","3,852 ","4,405 ","4,468 ","4,371 ","4,671 ","4,982 ","5,331 ",--,--,"6,061 ","6,051 ","5,864 ","5,362 ","5,584 ","5,493 ","5,312 ","5,175 ","5,130 ","4,982 ","4,844 ","4,810 ","4,662 ","4,101 ","2,880 ","2,627 ","120,293 ","38,398 ","43,280 ","44,458 ","45,550 ","45,167 ","65,080 ","102,912 ","99,180 ","60,888 ","89,772 ","94,922 ","107,525 ","100,408 ","101,163 ","134,880 ","97,900 ","140,404 "
"Depreciation of Right-of-Use Assets,Sup.",,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"22,266 ","14,943 ","11,546 ",--,"9,570 ","9,615 ","9,938 ",--,"9,457 ","40,984 ",--,--
"Interest Expense, Supplemental",,"1,997 ","1,981 ","1,947 ","1,797 ","1,872 ","1,254 ","1,430 ","1,935 ","2,478 ","2,653 ","3,490 ","3,024 ","3,034 ","(1,480)","2,891 ","8,513 ","3,264 ","3,189 ","2,792 ","2,879 ","2,517 ","2,322 ","2,194 ","2,222 ","2,093 ","1,924 ","2,081 ","2,266 ","2,336 ","3,108 ","3,274 ","3,533 ","3,699 ","3,576 ","3,608 ","3,543 ","3,615 ","4,398 ","4,576 ","5,029 ","5,185 ","5,632 ","5,996 ","6,227 ","6,175 ","6,607 ","7,308 ","7,651 ","7,645 ","7,875 ","8,156 ","7,898 ","7,443 ","7,685 ","7,778 ","7,767 ","6,653 ","154,914 ","96,059 ","165,904 ","129,759 ","125,513 ","125,333 ","106,802 ","96,857 ","192,742 ","183,905 ","186,568 ","191,188 ","213,246 ","270,704 ","267,924 ","249,489 ","509,820 ","258,631 ","409,774 "
"Interest Expense on Lease Liabs., Suppl.",,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,555 ,"1,537 ","4,468 ",197 ,"1,516 ","1,472 ","1,518 ",--,--,--,--,--
"Rental Expense, Supplemental",,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"34,401 ",--,--,--,--,--,--,--,--,--,--,--,--
Short-Term Lease Cost,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,287 ","1,330 ","1,307 ","1,397 ","1,350 ","1,757 ","1,068 ",--,--,--,--,--
"Equity in Affiliates, Supplemental",,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,724 ,"1,462 ",994 ,774 ,801 ,677 ,"1,026 ",355 ,732 ,(634),311 ,(928),(299),866 ,(90),71 ,"(1,496)","(2,759)"
"Minority Interest, Supplemental",,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11 ,10 ,12 ,(5),(6),34 ,--,--,--,0 ,--,--,--,--,--,--,--,--,0 ,"(15,735)","(8,299)","(139,135)","(37,209)","(16,393)","(39,474)","(24,824)","(1,921)","(3,050)","(2,781)","(2,331)","(3,043)","(3,427)","(2,954)","33,298 ","(11,917)","1,898 ","(6,309)","55,341 "
