SCI Electric PCL | Balance Sheet                                25-Sep-2024 17:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Translation Adjustment,(525),"(14,190)","18,105 ","17,447 ","13,722 ","13,238 ","10,260 ","17,453 ","5,097 ",(816),"(4,646)","(11,202)","(24,266)","(8,676)","(17,535)","(16,676)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Equity,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(22,885)","(31,368)","(32,438)","(35,745)","(17,467)","(29,154)","(24,646)","(32,894)","(26,611)","(23,751)","(15,101)","(18,772)","(18,696)","(11,989)","(2,577)","(12,849)","(13,899)","(10,870)","(9,815)","(12,187)","(23,276)","(25,020)"
Total Equity,"270,813 ","720,801 ","799,639 ","1,859,609 ","1,851,193 ","1,772,017 ","1,826,004 ","1,946,891 ","1,940,963 ","1,900,729 ","1,930,373 ","1,898,456 ","1,862,249 ","1,861,229 ","1,845,080 ","1,809,943 ","1,782,950 ","1,688,714 ","1,655,282 ","1,622,217 ","1,639,638 ","1,630,896 ","1,636,798 ","1,429,429 ","1,444,345 ","1,432,100 ","1,449,516 ","1,446,577 ","1,406,777 ","1,356,540 ","1,307,550 ","1,252,813 ","1,215,487 ","1,170,890 ","1,159,082 ","694,509 ","651,515 ","631,192 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders' Equity,"1,916,769 ","1,767,617 ","1,845,795 ","2,907,694 ","2,516,973 ","2,316,147 ","2,592,515 ","3,034,928 ","3,191,916 ","3,283,111 ","3,322,864 ","3,312,746 ","3,325,813 ","3,430,400 ","3,374,410 ","3,213,879 ","3,332,414 ","3,203,833 ","3,042,974 ","2,968,374 ","3,166,450 ","3,173,237 ","3,237,808 ","2,933,399 ","3,036,282 ","3,037,222 ","3,172,928 ","3,144,820 ","3,085,464 ","3,063,602 ","3,037,015 ","2,881,788 ","3,068,824 ","2,952,839 ","3,068,501 ","1,734,686 ","1,716,535 ","1,785,788 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Shares Outstanding,"165,000 ","562,500 ","562,500 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 "
Shares Outs - Common Stock Primary Issue,"165,000 ","562,500 ","562,500 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 "
Treas Shares - Common Stock Prmry Issue,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Minority Interest - Non Redeemable,4 ,5 ,5 ,6 ,6 ,6 ,"11,136 ","11,065 ","10,970 ","10,580 ","10,246 ","9,800 ","9,228 ","9,574 ","9,153 ","8,530 ","7,817 ","6,794 ","6,055 ","5,385 ","5,216 ","4,245 ","3,796 ","3,163 ","2,703 ","2,279 ","2,053 ","1,626 ","1,203 ",(900),"(1,565)",(156),(711),"(1,221)","(1,861)","(18,612)","(20,250)","(20,983)"
Total Equity & Minority Interest,"270,817 ","720,806 ","799,644 ","1,859,614 ","1,851,199 ","1,772,023 ","1,837,139 ","1,957,955 ","1,951,934 ","1,911,310 ","1,940,619 ","1,908,256 ","1,871,476 ","1,870,803 ","1,854,233 ","1,818,472 ","1,790,767 ","1,695,507 ","1,661,337 ","1,627,602 ","1,644,854 ","1,635,141 ","1,640,594 ","1,432,592 ","1,447,049 ","1,434,380 ","1,451,568 ","1,448,203 ","1,407,981 ","1,355,640 ","1,305,985 ","1,252,657 ","1,214,776 ","1,169,669 ","1,157,221 ","675,897 ","631,265 ","610,209 "
Other Property/Plant/Equipment - Net,"183,039 ","186,528 ","186,526 ","188,068 ","190,659 ","197,279 ","215,242 ","244,963 ","243,561 ","320,821 ","340,065 ","440,598 ","542,687 ","658,181 ","690,660 ","675,254 ","660,513 ","642,769 ","628,682 ","612,909 ","732,732 ","695,995 ","700,042 ","673,813 ","688,201 ","688,632 ","710,032 ","693,638 ","685,102 ","702,812 ","730,007 ","676,540 ","662,637 ","678,540 ","687,580 ","218,792 ","216,757 ","215,403 "
Intangibles - Net,"3,902 ","252,508 ","291,589 ","288,034 ","279,327 ","275,424 ","269,238 ","276,941 ","263,446 ","256,867 ","249,216 ","241,026 ","227,698 ","238,360 ","229,810 ","228,054 ","221,003 ","210,667 ","206,647 ","199,770 ","213,649 ","199,388 ","201,790 ","189,210 ","195,005 ","196,946 ","211,825 ","206,026 ","202,935 ","212,306 ","225,111 ","202,540 ","197,278 ","203,282 ","206,035 ","190,269 ","200,519 ","199,458 "
"Right-of-Use Assets-Cap.Lease,Net-Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"102,179 ","96,147 ","98,034 ","92,584 ","95,538 ","95,979 ","100,487 ","98,281 ","98,149 ","102,906 ","109,528 ","98,719 ","96,786 ","99,569 ","101,466 ","3,669 ","4,646 ","4,508 "
Contract Liability - Short Term,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"106,060 ","92,655 ","84,538 ","88,247 ","48,974 ","101,495 ","60,684 ","24,728 ","14,699 ","61,941 ","93,120 ","105,237 ","95,176 ","64,028 ","40,262 "
Deferred Revenue - Current,"125,692 ","84,717 ","116,725 ","81,445 ","46,405 ","31,237 ","60,766 ","49,584 ","69,585 ","81,540 ","94,615 ","89,566 ","66,562 ","61,553 ","39,028 ","23,380 ",--,--,--,--,--,--,--,"106,060 ","92,655 ","84,538 ","88,247 ","48,974 ","101,495 ","60,684 ","24,728 ","14,699 ","61,941 ","93,120 ","105,237 ","95,176 ","64,028 ","40,262 "
"Curr. Port. of LT Capital Leases, Suppl.","3,716 ","6,565 ","6,310 ","6,106 ","6,103 ","6,153 ","6,495 ","6,528 ","6,546 ","6,632 ","5,805 ","4,975 ","4,735 ","3,707 ","2,921 ","2,530 ","1,912 ","1,706 ","1,670 ","1,604 ","1,636 ","1,563 ","1,717 ","1,664 ","1,542 ","1,302 ","1,140 ",975 ,"1,145 ","1,051 ",975 ,865 ,826 ,769 ,738 ,646 ,816 ,753 
Total Current Assets less Inventory,"1,040,875 ","941,852 ","886,122 ","2,059,184 ","1,643,721 ","1,456,010 ","1,588,372 ","2,002,304 ","2,193,817 ","2,132,011 ","2,136,204 ","2,076,414 ","2,006,975 ","1,942,063 ","1,880,144 ","1,817,384 ","1,756,184 ","1,604,693 ","1,578,589 ","1,513,221 ","1,581,896 ","1,618,678 ","1,687,981 ","1,474,429 ","1,553,645 ","1,486,422 ","1,586,226 ","1,526,098 ","1,439,003 ","1,481,176 ","1,465,252 ","1,385,681 ","1,454,340 ","1,375,245 ","1,445,859 ","635,632 ","601,365 ","663,932 "
Net Debt Incl. Pref.Stock & Min.Interest,"32,528 ","144,397 ","146,120 ","(864,017)","(979,318)","(915,579)","(740,380)","(736,296)","(842,535)","(675,853)","(536,400)","(419,364)","(417,173)","(229,281)","(212,062)","(192,815)","(75,325)","(18,589)","27,271 ","32,276 ","110,678 ","124,650 ","70,806 ","43,266 ",(406),"(69,354)","48,009 ","(46,154)","18,875 ","48,923 ","134,007 ","45,554 ","170,299 ","52,750 ","61,845 ","52,629 ","116,788 ","161,461 "
"Tangible Book Value, Common Equity","266,911 ","468,293 ","508,051 ","1,571,575 ","1,571,866 ","1,496,593 ","1,556,766 ","1,669,950 ","1,677,517 ","1,643,862 ","1,681,157 ","1,657,430 ","1,634,551 ","1,622,869 ","1,615,270 ","1,581,888 ","1,561,947 ","1,478,046 ","1,448,635 ","1,422,447 ","1,425,989 ","1,431,508 ","1,435,008 ","1,240,219 ","1,249,340 ","1,235,155 ","1,237,690 ","1,240,551 ","1,203,843 ","1,144,234 ","1,082,439 ","1,050,273 ","1,018,209 ","967,608 ","953,047 ","504,240 ","450,997 ","431,735 "
"Debt & Lease, Pension Items (THB Thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Long Term Debt, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,"237,308 ","312,015 ","375,781 ","376,369 ","365,966 ","350,820 ","346,163 ","338,348 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Debt Maturing within 1 Year,--,--,--,--,--,--,--,--,--,--,--,--,0 ,"6,010 ","20,604 ","35,313 ","45,822 ","33,528 ","22,622 ","338,348 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Debt Maturing in Year 2,--,--,--,--,--,--,--,--,--,--,--,--,"59,327 ","76,501 ","74,150 ","70,603 ","65,661 ","53,078 ","57,833 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Debt Maturing in Year 3,--,--,--,--,--,--,--,--,--,--,--,--,"59,327 ","76,501 ","74,150 ","70,603 ","65,661 ","53,078 ","57,833 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Debt Maturing in Year 4,--,--,--,--,--,--,--,--,--,--,--,--,"59,327 ","76,501 ","74,150 ","70,603 ","65,661 ","53,078 ","57,833 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Debt Maturing in Year 5,--,--,--,--,--,--,--,--,--,--,--,--,"59,327 ","76,501 ","74,150 ","70,603 ","65,661 ","53,078 ","57,833 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Debt Maturing in 2-3 Years,--,--,--,--,--,--,--,--,--,--,--,--,"118,654 ","153,003 ","148,301 ","141,206 ","131,323 ","106,156 ","115,666 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Debt Maturing in 4-5 Years,--,--,--,--,--,--,--,--,--,--,--,--,"118,654 ","153,003 ","148,301 ","141,206 ","131,323 ","106,156 ","115,666 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Debt Matur. in Year 6 & Beyond,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,"58,574 ","58,643 ","57,499 ","104,980 ","92,211 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Total Operating Leases, Supplemental","11,884 ","7,444 ","9,485 ","10,352 ","7,514 ","5,685 ","3,867 ","2,169 ","1,551 ","2,817 ","2,913 ","1,528 ","1,609 ","1,504 ","1,494 ","1,031 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 1,"6,288 ","6,021 ","6,268 ","7,013 ","5,660 ","3,806 ","2,713 ",989 ,426 ,589 ,763 ,339 ,626 ,471 ,471 ,39 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 2,"2,798 ",165 ,"1,069 ","1,140 ",415 ,434 ,84 ,86 ,83 ,272 ,262 ,77 ,38 ,40 ,40 ,39 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 3,"2,798 ",165 ,"1,069 ","1,140 ",415 ,434 ,84 ,86 ,83 ,272 ,262 ,77 ,38 ,40 ,40 ,39 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 4,--,--,--,--,--,--,--,--,--,272 ,262 ,77 ,38 ,40 ,40 ,39 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 5,--,--,--,--,--,--,--,--,--,272 ,262 ,77 ,38 ,40 ,40 ,39 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 2-3 Years,"5,596 ",330 ,"2,139 ","2,280 ",829 ,868 ,167 ,173 ,166 ,543 ,525 ,154 ,75 ,80 ,80 ,78 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 4-5 Years,--,--,--,--,--,--,--,--,--,543 ,525 ,154 ,75 ,80 ,80 ,78 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oper. Lse. Pymts. Due in Year 6 & Beyond,0 ,"1,092 ","1,078 ","1,059 ","1,025 ","1,011 ",987 ,"1,008 ",959 ,"1,141 ","1,100 ",880 ,832 ,873 ,863 ,835 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Funded Status,"(23,144)","(23,468)","(24,205)","(28,333)","(29,167)","(30,435)","(31,703)","(32,971)","(32,144)","(33,501)","(34,870)","(35,816)","(37,745)","(39,674)","(41,451)","(39,500)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Unfunded Plan Obligations,"23,144 ","23,468 ","24,205 ","28,333 ","29,167 ","30,435 ","31,703 ","32,971 ","32,144 ","33,501 ","34,870 ","35,816 ","37,745 ","39,674 ","41,451 ","39,500 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Obligations,"23,144 ","23,468 ","24,205 ","28,333 ","29,167 ","30,435 ","31,703 ","32,971 ","32,144 ","33,501 ","34,870 ","35,816 ","37,745 ","39,674 ","41,451 ","39,500 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
